CCE,Name,Check_Fix,Rationale,Severity,RuleID,SLE,NIST.800.53r4,NIST.800.171,NIST.CFS1.1,SRG,DISA.STIG,SV,CCI,CIS,PCI.DSS,HIPAA,COBIT,ISO.27002,IEC.62443,BP,OTHER
CCE-85788-8,Verify File Hashes with RPM [ref],"Without cryptographic integrity protections, system executables and files can be altered by unauthorized users without detection. The RPM package management system can check the hashes of installed software packages, including many that are important to system security. To verify that the cryptographic hash of system files and commands matches vendor values, run the following command to list which files on the system have hashes that differ from what is expected by the RPM database: $ rpm -Va --noconfig | grep '^..5' A ""c"" in the second column indicates that a file is a configuration file, which may appropriately be expected to change. If the file was not expected to change, investigate the cause of the change using audit logs or other means. The package can then be reinstalled to restore the file. Run the following command to determine which package owns the file: $ rpm -qf FILENAME The package can be reinstalled from a zypper repository using the command: $ sudo zypper reinstall PACKAGENAME Alternatively, the package can be reinstalled from trusted media using the command: $ sudo rpm -Uvh PACKAGENAME",The hashes of important files like system executables should match theinformation given by the RPM database. Executables with erroneous hashes couldbe a sign of nefarious activity on the system.,high,content_rule_rpm_verify_hashes,,"AU-9(3),CM-6(d),CM-6(c),SI-7,SI-7(1),SI-7(6)","3.3.8,3.4.1,4.3.4.3.2,4.3.4.3.3,4.3.4.4.4","PR.DS-6,PR.DS-8,PR.IP-1",SRG-OS-000480-GPOS-00227,,,"CCI-000366,CCI-001749","2,3,9,11",,"164.308(a)(1)(ii)(D),164.312(b),164.312(c)(1),164.312(c)(2),164.312(e)(2)(i)","APO01.06,BAI03.05,BAI06.01,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS06.02","A.11.2.4,A.12.1.2,A.12.2.1,A.12.5.1,A.12.6.2,A.14.1.2,A.14.1.3,A.14.2.2,A.14.2.3,A.14.2.4","SR,3.1,SR,3.3,SR,3.4,SR,3.8,SR,7.6",,"5.10.4.1,Req-11.5"
CCE-85782-1,Verify and Correct File Permissions with RPM [ref],"The RPM package management system can check file access permissions of installed software packages, including many that are important to system security. Verify that the file permissions of system files and commands match vendor values. Check the file permissions with the following command: $ sudo rpm -Va | awk '{ if (substr($0,2,1)==""M"") print $NF }' Output indicates files that do not match vendor defaults. After locating a file with incorrect permissions, run the following command to determine which package owns it: $ rpm -qf FILENAME Next, run the following command to reset its permissions to the correct values: $ sudo rpm --setperms PACKAGENAMEWarning: Profiles may require that specific files have stricter file permissions than defined by the vendor. Such files will be reported as a finding and need to be evaluated according to your policy and deployment environment.",Permissions on system binaries and configuration files that are too generouscould allow an unauthorized user to gain privileges that they should not have.The permissions set by the vendor should be maintained. Any deviations fromthis baseline should be investigated.,high,content_rule_rpm_verify_permissions,,"AU-9(3),CM-6(d),CM-6(c),CM-6(a),SI-7,SI-7(1),SI-7(6)","3.3.8,4.3.3.3.9,4.3.3.5.8,4.3.3.7.3,CIP-003-3,R4.2,CIP-003-3,R6,3.4.1,4.3.4.3.2,4.3.4.3.3,4.3.4.4.7","PR.AC-4,PR.DS-5,PR.IP-1,PR.PT-1","SRG-OS-000256-GPOS-00097,SRG-OS-000257-GPOS-00098,SRG-OS-000258-GPOS-00099,SRG-OS-000278-GPOS-00108",,,"CCI-001493,CCI-001494,CCI-001495,CCI-001496","1,3,5,6,9,11,12,13,14,15,16,18",,"164.308(a)(1)(ii)(D),164.312(b),164.312(c)(1),164.312(c)(2),164.312(e)(2)(i)","APO01.06,APO11.04,BAI03.05,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS05.04,DSS05.07,DSS06.02,MEA02.01","A.6.1.2,A.7.1.1,A.7.1.2,A.7.3.1,A.8.2.2,A.8.2.3,A.9.1.1,A.9.1.2,A.9.2.3,A.9.4.1,A.9.4.4,A.9.4.5,A.10.1.1,A.11.1.4,A.11.1.5,A.11.2.1,A.12.1.2,A.12.4.1,A.12.4.2,A.12.4.3,A.12.4.4,A.12.5.1,A.12.6.2,A.12.7.1,A.13.1.1,A.13.1.3,A.13.2.1,A.13.2.3,A.13.2.4,A.14.1.2,A.14.1.3,A.14.2.2,A.14.2.3,A.14.2.4","SR,2.1,SR,2.10,SR,2.11,SR,2.12,SR,2.8,SR,2.9,SR,5.2,SR,7.6",,"5.10.4.1,4.4.2.1,4.4.2.2,4.4.2.4,CIP-007-3,R4,CIP-007-3,R4.1,CIP-007-3,R4.2,Req-11.5,6.1.1"
CCE-83289-9,Install AIDE [ref],The aide package can be installed with the following command: $ sudo zypper install aide,The AIDE package must be installed if it is to be available for integrity checking.,medium,content_rule_package_aide_installed,SLES-15-010420,CM-6(a),"4.3.4.3.2,4.3.4.3.3,4.3.4.4.4","PR.DS-1,PR.DS-6,PR.DS-8,PR.IP-1,PR.IP-3,DE.CM-1,DE.CM-7",SRG-OS-000363-GPOS-00150,,SV-234851r622137_rule,"CCI-002699,CCI-001744","1,2,3,5,7,8,9,11,12,13,14,15,16",,,"APO01.06,BAI01.06,BAI02.01,BAI03.05,BAI06.01,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS01.03,DSS03.05,DSS04.07,DSS05.02,DSS05.03,DSS05.05,DSS05.07,DSS06.02,DSS06.06","A.8.2.3,A.11.2.4,A.12.1.2,A.12.2.1,A.12.4.1,A.12.5.1,A.12.6.2,A.14.1.2,A.14.1.3,A.14.2.2,A.14.2.3,A.14.2.4,A.14.2.7,A.15.2.1","SR,3.1,SR,3.3,SR,3.4,SR,3.8,SR,4.1,SR,6.2,SR,7.6",BP28(R51),"5.10.1.3,1034,1288,1341,1417,Req-11.5,1.4.1"
CCE-85787-0,Build and Test AIDE Database [ref],"Run the following command to generate a new database: $ sudo /usr/sbin/aide --init By default, the database will be written to the file /var/lib/aide/aide.db.new.gz. Storing the database, the configuration file /etc/aide.conf, and the binary /usr/sbin/aide (or hashes of these files), in a secure location (such as on read-only media) provides additional assurance about their integrity. The newly-generated database can be installed as follows: $ sudo cp /var/lib/aide/aide.db.new.gz /var/lib/aide/aide.db.gz To initiate a manual check, run the following command: $ sudo /usr/sbin/aide --check If this check produces any unexpected output, investigate.","For AIDE to be effective, an initial database of ""known-good"" information about filesmust be captured and it should be able to be verified against the installed files.",medium,content_rule_aide_build_database,,CM-6(a),"4.3.4.3.2,4.3.4.3.3,4.3.4.4.4","PR.DS-1,PR.DS-6,PR.DS-8,PR.IP-1,PR.IP-3,DE.CM-1,DE.CM-7",,,,,"1,2,3,5,7,8,9,11,12,13,14,15,16",,,"APO01.06,BAI01.06,BAI02.01,BAI03.05,BAI06.01,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS01.03,DSS03.05,DSS04.07,DSS05.02,DSS05.03,DSS05.05,DSS05.07,DSS06.02,DSS06.06","A.8.2.3,A.11.2.4,A.12.1.2,A.12.2.1,A.12.4.1,A.12.5.1,A.12.6.2,A.14.1.2,A.14.1.3,A.14.2.2,A.14.2.3,A.14.2.4,A.14.2.7,A.15.2.1","SR,3.1,SR,3.3,SR,3.4,SR,3.8,SR,4.1,SR,6.2,SR,7.6",BP28(R51),"5.10.1.3,Req-11.5,1.4.1"
CCE-85671-6,Configure Periodic Execution of AIDE [ref],"At a minimum, AIDE should be configured to run a weekly scan. To implement a daily execution of AIDE at 4:05am using cron, add the following line to /etc/crontab: 05 4 * * * root --check To implement a weekly execution of AIDE at 4:05am using cron, add the following line to /etc/crontab: 05 4 * * 0 root --check AIDE can be executed periodically through other means; this is merely one example. The usage of cron's special time codes, such as @daily and @weekly is acceptable.","By default, AIDE does not install itself for periodic execution. Periodicallyrunning AIDE is necessary to reveal unexpected changes in installed files.Unauthorized changes to the baseline configuration could make the system vulnerableto various attacks or allow unauthorized access to the operating system. Changes tooperating system configurations can have unintended side effects, some of which maybe relevant to security.Detecting such changes and providing an automated response can help avoid unintended,negative consequences that could ultimately affect the security state of the operatingsystem. The operating system's Information Management Officer (IMO)/Information SystemSecurity Officer (ISSO) and System Administrators (SAs) must be notified via email and/ormonitoring system trap when there is an unauthorized modification of a configuration item.",medium,content_rule_aide_periodic_cron_checking,SLES-15-010570,SI-6(d),"4.3.4.3.2,4.3.4.3.3,4.3.4.4.4","PR.DS-1,PR.DS-6,PR.DS-8,PR.IP-1,PR.IP-3,DE.CM-1,DE.CM-7","SRG-OS-000363-GPOS-00150,SRG-OS-000446-GPOS-00200,SRG-OS-000447-GPOS-00201",,SV-234864r622137_rule,"CCI-001744,CCI-002699,CCI-002702","1,2,3,5,7,8,9,11,12,13,14,15,16",,,"APO01.06,BAI01.06,BAI02.01,BAI03.05,BAI06.01,BAI10.01,BAI10.02,BAI10.03,BAI10.05,DSS01.03,DSS03.05,DSS04.07,DSS05.02,DSS05.03,DSS05.05,DSS05.07,DSS06.02,DSS06.06","A.8.2.3,A.11.2.4,A.12.1.2,A.12.2.1,A.12.4.1,A.12.5.1,A.12.6.2,A.14.1.2,A.14.1.3,A.14.2.2,A.14.2.3,A.14.2.4,A.14.2.7,A.15.2.1","SR,3.1,SR,3.3,SR,3.4,SR,3.8,SR,4.1,SR,6.2,SR,7.6",BP28(R51),"5.10.1.3,Req-11.5,1.4.2"
CCE-85791-2,Configure Libreswan to use System Crypto Policy [ref],"Crypto Policies provide a centralized control over crypto algorithms usage of many packages. Libreswan is supported by system crypto policy, but the Libreswan configuration may be set up to ignore it. To check that Crypto Policies settings are configured correctly, ensure that the /etc/ipsec.conf includes the appropriate configuration file. In /etc/ipsec.conf, make sure that the following line is not commented out or superseded by later includes: include /etc/crypto-policies/back-ends/libreswan.config","Overriding the system crypto policy makes the behavior of the Libreswanservice violate expectations, and makes system configuration morefragmented.",medium,content_rule_configure_libreswan_crypto_policy,,"CM-6(a),MA-4(6),SC-13,SC-12(2),SC-12(3)","CIP-003-3,R4.2",,SRG-OS-000033-GPOS-00014,,,,,,,,,,,"CIP-007-3,R5.1,FCS_IPSEC_EXT.1.4,FCS_IPSEC_EXT.1.6"
CCE-85794-6,Configure OpenSSL library to use System Crypto Policy [ref],"Crypto Policies provide a centralized control over crypto algorithms usage of many packages. OpenSSL is supported by crypto policy, but the OpenSSL configuration may be set up to ignore it. To check that Crypto Policies settings are configured correctly, you have to examine the OpenSSL config file available under /etc/pki/tls/openssl.cnf. This file has the ini format, and it enables crypto policy support if there is a [ crypto_policy ] section that contains the .include /etc/crypto-policies/back-ends/opensslcnf.config directive.","Overriding the system crypto policy makes the behavior of the Java runtime violates expectations,and makes system configuration more fragmented.",medium,content_rule_configure_openssl_crypto_policy,,"AC-17(a),AC-17(2),CM-6(a),MA-4(6),SC-13,SC-12(2),SC-12(3)","CIP-003-3,R4.2",,SRG-OS-000250-GPOS-00093,,,CCI-001453,,,,,,,,"CIP-007-3,R5.1,CIP-007-3,R7.1"
CCE-85795-3,Configure SSH to use System Crypto Policy [ref],"Crypto Policies provide a centralized control over crypto algorithms usage of many packages. SSH is supported by crypto policy, but the SSH configuration may be set up to ignore it. To check that Crypto Policies settings are configured correctly, ensure that the CRYPTO_POLICY variable is either commented or not set at all in the /etc/sysconfig/sshd.","Overriding the system crypto policy makes the behavior of the SSH service violate expectations,and makes system configuration more fragmented.",medium,content_rule_configure_ssh_crypto_policy,,"AC-17(a),AC-17(2),CM-6(a),MA-4(6),SC-13","CIP-003-3,R4.2",,SRG-OS-000250-GPOS-00093,,,,,,"164.308(a)(4)(i),164.308(b)(1),164.308(b)(3),164.312(e)(1),164.312(e)(2)(ii)",,,,,"CIP-007-3,R5.1,CIP-007-3,R7.1"
CCE-85789-6,Install Intrusion Detection Software [ref],"The base SUSE Linux Enterprise 15 platform already includes a sophisticated auditing system that can detect intruder activity, as well as SELinux, which provides host-based intrusion prevention capabilities by confining privileged programs and user sessions which may become compromised.Warning: In DoD environments, supplemental intrusion detection and antivirus tools, such as the McAfee Host-based Security System, are available to integrate with existing infrastructure. Per DISA guidance, when these supplemental tools interfere with proper functioning of SELinux, SELinux takes precedence. Should further clarification be required, DISA contact information is published publicly at https://public.cyber.mil/stigs/",Host-based intrusion detection tools provide a system-level defense when anintruder gains access to a system or network.,high,content_rule_install_hids,,CM-6(a),4.3.3.4,"PR.AC-5,PR.DS-5,PR.PT-4,DE.CM-1",,,,CCI-001263,"1,7,8,9,12,13,14,15,16,18",,,"APO01.06,APO13.01,DSS01.03,DSS01.05,DSS03.05,DSS05.02,DSS05.04,DSS05.07,DSS06.02","A.6.1.2,A.7.1.1,A.7.1.2,A.7.3.1,A.8.2.2,A.8.2.3,A.9.1.1,A.9.1.2,A.9.2.3,A.9.4.1,A.9.4.4,A.9.4.5,A.10.1.1,A.11.1.4,A.11.1.5,A.11.2.1,A.13.1.1,A.13.1.3,A.13.2.1,A.13.2.3,A.13.2.4,A.14.1.2,A.14.1.3","SR,3.1,SR,3.5,SR,3.8,SR,4.1,SR,4.3,SR,5.1,SR,5.2,SR,5.3,SR,6.2,SR,7.1,SR,7.6",,Req-11.4
CCE-85783-9,Enable GNOME3 Screensaver Idle Activation [ref],"To activate the screensaver in the GNOME3 desktop after a period of inactivity, add or set idle-activation-enabled to true in /etc/dconf/db/local.d/00-security-settings. For example: [org/gnome/desktop/screensaver] idle-activation-enabled=true Once the setting has been added, add a lock to /etc/dconf/db/local.d/locks/00-security-settings-lock to prevent user modification. For example: /org/gnome/desktop/screensaver/idle-activation-enabled After the settings have been set, run dconf update.","A session time-out lock is a temporary action taken when a user stops work and moves away from the immediatephysical vicinity of the information system but does not logout because of the temporary nature of the absence.Rather than relying on the user to manually lock their operating system session prior to vacating the vicinity,GNOME desktops can be configured to identify when a user's session has idled and take action to initiate thesession lock.Enabling idle activation of the screensaver ensures the screensaver willbe activated after the idle delay. Applications requiring continuous,real-time screen display (such as network management products) require thelogin session does not have administrator rights and the display station is located in acontrolled-access area.",medium,content_rule_dconf_gnome_screensaver_idle_activation_enabled,,"AC-11(a),CM-6(a)","3.1.10,4.3.3.6.1,4.3.3.6.2,4.3.3.6.3,4.3.3.6.4,4.3.3.6.5,4.3.3.6.6,4.3.3.6.7,4.3.3.6.8,4.3.3.6.9",PR.AC-7,SRG-OS-000029-GPOS-00010,,,CCI-000057,"1,12,15,16",,,"DSS05.04,DSS05.10,DSS06.10","A.9.2.1,A.9.2.4,A.9.3.1,A.9.4.2,A.9.4.3,A.18.1.4","SR,1.1,SR,1.10,SR,1.2,SR,1.5,SR,1.7,SR,1.8,SR,1.9",,"5.5.5,FMT_MOF_EXT.1,Req-8.1.8"
