Unnamed: 0,Last modified: 2009-04-30,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Version: 5.20090506,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Internal Revenue Service Basic UNIX Security Requirements (IRS BUSR) http://www.irs.gov/irm/part10/ch03s08.html
CCE-5847-9,/export/home should be configured on an appropriate filesystem logical volume,logical volume,via fstab,,10.8.10.4.2.1 (5)
CCE-5424-7,/var should be configured on an appropriate filesystem logical volume,logical volume,via fstab,,10.8.10.4.2.1 (5)
CCE-5710-9,/opt should be configured on an appropriate filesystem logical volume,logical volume,via fstab,,10.8.10.4.2.1 (5)
CCE-5662-2,The shell for the root account should be located on the appropriate filesystem,filesystem,via /etc/passwd ,,10.8.10.4.2.1 (6)
CCE-5317-3,Core dump size limits should be set appropriately,Size (0 to disable core dumps),"via /etc/security/limits
via ulimit",,10.8.10.4.4 (3)
CCE-5384-3,The read-only SNMP community string should be set appropriately.,string,via /etc/snmp.conf,,10.8.10.5.1 (1) c)
CCE-5723-2,The read/write SNMP community string should be set appropriately.,string,via /etc/snmp.conf,,10.8.10.5.1 (1) c)
CCE-5634-1,Password policy should ban or allow usernames or UIDs in passwords as appropriate,ban/allow,via /etc/security/user,,10.8.10.5.1 (2) a)
CCE-5352-0,Password policy should ban or allow words found in a dictionary as appropriate.,ban/allow,via /etc/security/user,,10.8.10.5.1 (2) a)
CCE-5848-7,Password policy should enforce the correct amount of special characters,number of special characters,via /etc/security/user,,10.8.10.5.1 (2) a)
CCE-5443-7,Password policy should enforce or not enforce the requirement to have mixed case passwords as appropriate.,enforce/not enforce,via /etc/security/user,,10.8.10.5.1 (2) a)
CCE-5664-8,The minimum password age should be set as appropriate,number of days,via /etc/security/user,,10.8.10.5.1 (2) b)
CCE-5804-0,The minimum required password length should be set as appropriate,number of characters,via /etc/security/user,,10.8.10.5.1 (2) c)
CCE-4858-7,Password history should be saved for an appropriate number of password changes,number of password changes,via /etc/security/user,,10.8.10.5.1 (2) d)
CCE-5775-2,The number of consecutive failed login attempts required to trigger a lockout should be set as appropriate,number of consecutive failed login attempts,via /etc/security/user,,10.8.10.5.1 (2) e)
CCE-5761-2,Login access to accounts without passwords should be enabled or disabled as appropriate,enabled/disabled,"via passwd
via /etc/shadow",,10.8.10.5.1 (2) f)
CCE-5841-2,New users should be required or not required to change their password on first login as appropriate,required/not required,via /etc/security/passwd,,10.8.10.5.1 (2) g)
CCE-5858-6,Access to single-user mode (maintainence mode) should require the root password or not as appropriate,required/not required,,,10.8.10.5.1 (3)
CCE-5078-1,The delay between failed logins should be set as appropriate,number of seconds,via /etc/security/user,,10.8.10.5.1 (5)
CCE-5715-8,All files should be owned by an existing account or not as appropriate.,existing account required / existing account not required,via chown,,10.8.10.5.2 (3)
CCE-5684-6,All files should be owned by an existing group or not as appropriate.,existing group required / existing group not required,"via chgrp
via chown",,10.8.10.5.2 (3)
CCE-5244-9,The console login banner should be set appropriately.,banner text or null,"via /etc/security/login.cfg
via /etc/motd",,10.8.10.5.2 (5) a)
CCE-5402-3,The SSH login banner should be set appropriately.,banner text or null,via sshd.conf,,10.8.10.5.2 (5) b)
CCE-5622-6,The telnet login banner should be set appropriately.,banner text or null,,,10.8.10.5.2 (5) c)
CCE-5843-8,The ftp login banner should be set appropriately.,banner text or null,,,10.8.10.5.2 (5) d)
CCE-5842-0,The graphical login banner should be set appropriately.,banner text or null,,,10.8.10.5.2 (5) e)
CCE-5560-8,Accounts other than root should be allowed to have the UID 0 or not as appropriate,allowed/not allowed,"via passwd
via /etc/passwd",,10.8.10.5.2.1 (2) a)
CCE-4873-6,Accounts other than root and locked system accounts should be allowed to have a GID of 0 or not as appropriate,allowed/not allowed,"via passwd
via /etc/passwd",,10.8.10.5.2.1 (2) b)
CCE-5187-0,Each account should be assigned a unique UID or not as appropriate,unique/not unique,via /etc/passwd,,10.8.10.5.2.4 (3)
CCE-5765-3,The ftp account should exist or not as appropriate,exist/not exist,via /etc/passwd,,10.8.10.5.2.4 (9)
CCE-4884-3,Login accounts should include an appropriate GECOS identifier or no GECOS identifier,"GECOS value, null",via /etc/passwd,,10.8.10.5.2.4.1 (1)
CCE-5381-9,The screen lock should activate after an appropriate period of inactivity,number of minutes,"via Xscreensaver
via dtsession",,10.8.10.5.2.5 (1)
CCE-5645-7,File permissions should be set appropriately for all shell executables.,permissions,via chmod,,10.8.10.5.2.6 (1)
CCE-5597-0,Remote (serial) consoles should be enabled or disabled as appropriate.,enabled/disabled,via BIOS,,10.8.10.5.2.6 (3)
CCE-5676-2,Root logins should be restricted to the console or not as appropriate.,restricted/not restricted,/etc/default/login,,10.8.10.5.2.6 (4)
CCE-5733-1,.netrc files should exist or not as appropriate for all users.,exist/not exist,filesystem,,10.8.10.5.2.6 (6)
CCE-5702-6,.rhosts files should exist or not as appropriate for all users.,exist/not exist,filesystem,,10.8.10.5.2.6 (6)
