Unnamed: 0,Last modfied: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Version: 5.20130214,,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,"CIS
Apache Benchmark for Unix
For Apache Versions 1.3 and 2.0
Levels I and II","DISA STIG
Apache SITE 2.0 for Unix
Release: 1 Benchmark Date: 23 Nov 2011","DISA STIG
Apache SERVER 2.0 for Unix
Release: 1 Benchmark Date: 23 Nov 2011","DISA STIG
Apache SITE 2.0 for Windows
Release: 1 Benchmark Date: 23 Nov 2011","DISA STIG
Apache SERVER 2.0 for Windows
Release: 1 Benchmark Date: 23 Nov 2011"
CCE-28025-5,The Apache Action directive shoud be configured appropriately.,"(1) action-type
(2) cgi-script",(1) Apache configuration file: Action directive,,,,"Rule Title: MIME types for csh or sh shell programs must be disabled.
STIG ID: WG370 A22 Rule ID: SV-36309r1_rule Vuln ID: V-2225
Severity: CAT II  Class: Unclass",,
CCE-28092-5,The Apache AddHandler directive should be configured appropriately.,"(1) handler-name
(2) extension",(1) Apache configuration file: AddHandler directive,,,,"Rule Title: MIME types for csh or sh shell programs must be disabled.
STIG ID: WG370 A22 Rule ID: SV-36309r1_rule Vuln ID: V-2225
Severity: CAT II  Class: Unclass",,
CCE-28000-8,Anonymous sharing of Apache's web content directories with nfs should be configured appropriately.,(1) Set of shares,(1) via /etc/exports,,,"Rule Title: Web content directories must not be anonymously shared.
STIG ID: WG210 A22  Rule ID: SV-33022r1_rule  Vuln ID: V-2226
Severity: CAT II  Class: Unclass",,,
CCE-27251-8,Anonymous sharing of Apache's web content directories with smb should be configured appropriately.,(1) Set of shares,(1) via /etc/samba/smb.conf,,,"Rule Title: Web content directories must not be anonymously shared.
STIG ID: WG210 A22  Rule ID: SV-33022r1_rule  Vuln ID: V-2226
Severity: CAT II  Class: Unclass",,,
CCE-28090-9,The Apache AllowOverride directive should be configured appropriately for web site root directories.,(1) AuthConfig / FileInfo / Indexes / Limit / Options / All / None,(1) Apache configuration file: AllowOverride directive,,L1 15. Directory Functionality/Features Directives p24,"Rule Title: All interactive programs must be placed in a designated directory with appropriate permissions.
STIG ID: WG400 A22  Rule ID: SV-6928r4_rule  Vuln ID: V-2228
Severity: CAT II  Class: Unclass",,"Rule Title: All interactive programs must be placed in a designated directory with appropriate permissions.
STIG ID: WG400 W22  Rule ID: SV-36644r1_rule  Vuln ID: V-2228
Severity: CAT II  Class: Unclass",
CCE-27660-0,"The Apachce ""MaxKeepAliveRequests"" directive should be configured appropriately.",(1) Number value,(1) Apache configuration file: MaxKeepAliveRequests directive,,,"Rule Title: The number of allowed simultaneous requests must be set.
STIG ID: WG110 A22  Rule ID: SV-33018r1_rule  Vuln ID: V-2240
Severity: CAT II  Class: Unclass",,"Rule Title: The number of allowed simultaneous requests must be set.
STIG ID: WG110 W22  Rule ID: SV-33105r1_rule  Vuln ID: V-2240
Severity: CAT II  Class: Unclass",
CCE-28122-0,All readable Apache web document directories should have their default webpage configured appropriately. ,(1) exist / not exist,(1) Directories (from Apache configuration file: DocumentRoot directive),,,"Rule Title: Each readable web document directory must contain either a default, home, index, or equivalent file.
STIG ID: WG170 A22  Rule ID: SV-33020r1_rule  Vuln ID: V-2245
Severity: CAT III  Class: Unclass",,"Rule Title: Each readable web document directory must contain either a default, home, index, or equivalent file.
STIG ID: WG170 W22  Rule ID: SV-33107r1_rule  Vuln ID: V-2245
Severity: CAT III  Class: Unclass",
CCE-27490-2,File permissions for httpd.conf should be set correctly.,(1) permissions,(1) via chmod,,,,"Rule Title: Web administration tools must be restricted to the web manager and the web manager’s designees.
STIG ID: WG220 A22  Rule ID: SV-32948r1_rule  Vuln ID: V-2248
Severity: CAT II  Class: Unclass",,
