Unnamed: 0,Last modfied: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Version: 5.20130214,,,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,"CIS
Security Configuration Benchmark For Apache Web Server 2.2
Version 3.1.0
June 11th, 2012","CIS
Security Configuration Benchmark For
Apache Web Server 2.2.0
Version 2.2.0
November 2008","DISA STIG
Apache SITE 2.2 for Windows
Release: 1 Benchmark Date: 23 Nov 2011","DISA STIG
Apache SERVER 2.2 for Windows
Release: 1 Benchmark Date: 23 Nov 2011","DISA STIG
Apache SITE 2.2 for Unix
Release: 1 Benchmark Date: 23 Nov 2011","DISA STIG
Apache SERVER 2.2 for Unix
Release: 1 Benchmark Date: 23 Nov 2011"
CCE-27779-8,Anonymous sharing of Apache's web content directories should be configured appropriately.,(1) Set of shares,"(1) HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\NullSessionShares 
(2) defined by Local or Group Policy",,,,"Rule Title: Web content directories must not be anonymously shared.
STIG ID: WG210 W22  Rule ID: SV-33109r1_rule  Vuln ID: V-2226
Severity: CAT II  Class: Unclass",,,
CCE-27516-4,The Apache AllowOverride directive should be configured appropriately for web site root directories.,(1) AuthConfig / FileInfo / Indexes / Limit / Options / All / None,(1) Apache configuration file: AllowOverride directive,,,1.8 Directory Functionality Control with the Options Directive p17,"Rule Title: All interactive programs must be placed in a designated directory with appropriate permissions.
STIG ID: WG400 W22  Rule ID: SV-36644r1_rule  Vuln ID: V-2228
Severity: CAT II  Class: Unclass",,,
CCE-27868-9,The maximum password age setting for Apache's service account should be configured appropriately.,(1) number of days,(1) defined by Local or Group Policy  ,,,,,"Rule Title: The service account used to run the web service must have its password changed at least    annually.
STIG ID: WG060 W22  Rule ID: SV-36489r1_rule  Vuln ID: V-2235
Severity: CAT II  Class: Unclass",,
CCE-27830-9,"The Apachce ""MaxKeepAliveRequests"" directive should be configured appropriately.",(1) Number value,(1) Apache configuration file: MaxKeepAliveRequests directive,,"1.9.1 Denial of Service Mitigation (Level 1, Scorable) 
Add or modify the MaxKeepAliveRequests directive in the Apache configuration to have a value of 100 or more. p71",,"Rule Title: The number of allowed simultaneous requests must be set.
STIG ID: WG110 W22  Rule ID: SV-33105r1_rule  Vuln ID: V-2240
Severity: CAT II  Class: Unclass",,"Rule Title: The number of allowed simultaneous requests must be set.
STIG ID: WG110 A22  Rule ID: SV-33018r1_rule  Vuln ID: V-2240
Severity: CAT II  Class: Unclass",
CCE-27745-9,All readable Apache web document directories should have their default webpage configured appropriately. ,(1) exist / not exist,(1) Directories (from Apache configuration file: DocumentRoot directive),,,,"Rule Title: Each readable web document directory must contain either a default, home, index, or equivalent file.
STIG ID: WG170 W22  Rule ID: SV-33107r1_rule  Vuln ID: V-2245
Severity: CAT III  Class: Unclass",,,
CCE-27780-6,Access to Apache's httpd.conf file should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by (ServerRoot)\conf\httpd.conf's DACL  ,,,,,"Rule Title: Web administration tools must be restricted to the web manager and the web manager’s designees.
STIG ID: WG220 W22  Rule ID: SV-33072r1_rule  Vuln ID: V-2248
Severity: CAT II  Class: Unclass",,
CCE-27782-2,Apache's log_config_module should be enabled or disabled as appropriate.,(1) log_config_module,(1) Apache configuration file: LoadModule directive,,"1.2.2 Enable the Log Config Module (Level 1, Scorable)
For dynamically loaded modules, add or modify the LoadModule directive so that it is present in the apache configuration as below and not commented out : LoadModule log_config_module modules/mod_log_config.so p12",,"Rule Title: Logs of web server access and errors must be established and maintained.
STIG ID: WG240 W22  Rule ID: SV-33132r1_rule  Vuln ID: V-2250
Severity: CAT II  Class: Unclass",,"Rule Title: Logs of web server access and errors must be established and maintained.
STIG ID: WG240 A22  Rule ID: SV-33025r1_rule  Vuln ID: V-2250
Severity: CAT II  Class: Unclass",
CCE-27839-0,The Windows permissions for all files specified by CustomLog directives should be configured appropriately,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,"Rule Title: Log file access must be restricted to System Administrators, Web Administrators or Auditors.
STIG ID: WG250 W22  Rule ID: SV-33135r1_rule  Vuln ID: V-2252
Severity: CAT II  Class: Unclass",,,
CCE-27750-9,The Windows permissions for all files specified by ErrorLog directives should be configured appropriately,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,"Rule Title: Log file access must be restricted to System Administrators, Web Administrators or Auditors.
STIG ID: WG250 W22  Rule ID: SV-33135r1_rule  Vuln ID: V-2252
Severity: CAT II  Class: Unclass",,,
CCE-27599-0,The Windows permissions of Apache's htpasswd.exe file(s) should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,,"Rule Title: The web server’s htpasswd files (if present) must reflect proper ownership and permissions.
STIG ID: WG270 W22  Rule ID: SV-36561r1_rule  Vuln ID: V-2255
Severity: CAT II  Class: Unclass",,
CCE-27799-6,The Windows permissions for all directories specified by ScriptAlias directives should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 W22  Rule ID: SV-33136r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27705-3,The Windows permissions for all directories specified by ScriptAliasMatch directives should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 W22  Rule ID: SV-33136r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27840-8,The Windows permissions for all directories specified by DocumentRoot directives should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 W22  Rule ID: SV-33136r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27771-5,The Windows permissions for all directories specified by Alias directives should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,"Rule Title: The web client account access to the content and scripts directories must be limited to read and execute.
STIG ID: WG290 W22  Rule ID: SV-33136r1_rule  Vuln ID: V-2258
Severity: CAT I  Class: Unclass",,,
CCE-27843-2,The Windows permissions for all directories specified by ServerRoot directives should be configred appropriately,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 W22  Rule ID: SV-33078r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
CCE-27240-1,The Windows permissions of Apache's /config directory should be configred appropriately,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,,,,"Rule Title: Web server system files must conform to minimum file permission requirements.
STIG ID: WG300 W22  Rule ID: SV-33078r1_rule  Vuln ID: V-2259
Severity: CAT II  Class: Unclass",,
