CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-93201-2,icloud_backup_disabled,Ensure iCloud Backup is set to Disabled,"iCloud backup _MUST_ be disabled.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudBackup</key>
<false/>
----

","SC-4
AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-16-003000,3.2.1.4 (level 1 - Institutionally-Owned Devices),2.3,,,CCI-001090,medium,
CCE-93207-9,icloud_drive_disable,Ensure Allow iCloud Documents and Data is set to Disabled,"Institutionally owned devices _MUST_ not sync data through iCloud.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudDocumentSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-16-003200,3.2.1.5 (level 1 - Institutionally-Owned Devices),2.3,,,"CCI-000097
CCI-000366
CCI-000370",medium,
CCE-93202-0,icloud_keychain_disable,Disable iCloud Keychain Sync,"The iOS system's ability to automatically synchronize a user's passwords to their iCloud account _MUST_ be disabled. 
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudKeychainSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-16-003300,3.2.1.6 (level 1 - Institutionally-Owned Devices),"4.1
4.8
15.3",,,"CCI-000097
CCI-000366
CCI-000370",,
CCE-93203-8,icloud_managed_apps_store_data_disabled,Ensure Managed Apps Storing Data in iCloud is Set to Disabled,"Managed Apps _MUST_ not store data in iCloud.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowManagedAppsCloudSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,"AIOS-16-003600
AIOS-16-703600
AIOS-16-009200
AIOS-16-709200",2.2.1.3 (level 1 - End-User Owned Devices)3.2.1.7 (level 1 - Institutionally-Owned Devices),2.3,,,"CCI-000097
CCI-000366
CCI-000370",medium,
CCE-93204-6,icloud_photo_stream_disable,Ensure Photo Stream is set to Disabled,"If a user is able to configure the security setting, the user could inadvertently or maliciously set it to a value that poses unacceptable risk to DoD information systems. An adversary could exploit vulnerabilities created by the weaker configuration to compromise DoD sensitive information.
",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowPhotoStream</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-16-003400,,,,,"CCI-000097
CCI-000366
CCI-000370",medium,
CCE-93205-3,icloud_photos_disable,Disable iCloud Photo Library,"The iOS built-in Photos.app connection to Apple's iCloud service _MUST_ be disabled.

Apple's iCloud service does not provide an organization with enough control over the storage and access of data and, therefore, automated photo synchronization _MUST_ be controlled by an organization approved service.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudPhotoLibrary</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_SMF_EXT.1.1 #47,AIOS-16-011000,,"4.1
4.8
15.3",,,CCI-000381,medium,
CCE-93206-1,icloud_shared_photo_stream_disable,Ensure Shared Photo Stream is set to Disabled,"If a user is able to configure the security setting, the user could inadvertently or maliciously set it to a value that poses unacceptable risk to DoD information systems. An adversary could exploit vulnerabilities created by the weaker configuration to compromise DoD sensitive information.",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowSharedStream</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,FMT_MOF_EXT.1.2 #40,AIOS-16-003500,,,,,"CCI-000097
CCI-000366
CCI-000370",medium,
CCE-93208-7,os_airdrop_disable,Ensure AirDrop is set to Disabled,"AirDrop _MUST_ be disabled to prevent file transfers to or from unauthorized devices.

AirDrop allows users to share and receive files from other nearby Apple devices. 
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAirDrop</key>
<false/>
----

","AC-3
AC-20
CM-7
CM-7(1)",,,"FMT_SMF_EXT.1.1/WLAN
FMT_SMF_EXT.1.1 #47","AIOS-16-010200
AIOS-16-012500",,,,,"CCI-002536
CCI-000366
CCI-000097
CCI-000370",medium,
CCE-93209-5,os_airdrop_unmanaged_destination_enable,Ensure Treat AirDrop as unmanaged destination is set to Enabled,"AirDrop _MUST_ be treated as an unmanaged destination.
",Configuration Profile, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAirDropUnmanaged</key>
<true/>
----

","AC-3
AC-20
CM-7
CM-7(1)
MP-2
SC-7(10)",,,FMT_SMF_EXT.1.1 #47,"AIOS-16-011500
AIOS-16-711500",2.2.1.10 (level 1 - End-User Owned Devices)3.2.1.23 (level 1 - Institutionally-Owned Devices),3.3,,,"CCI-000366
CCI-002008",medium,
CCE-93210-3,os_airplay_password_require,Require the User to Enter a Password when Connecting to an AirPlay-enabled device for the First Time.,"When a user is allowed to use AirPlay without a password, it may mistakenly associate the iPhone and iPad with an AirPlay-enabled device other than the one intended (i.e., by choosing the wrong one from the AirPlay list displayed). This creates the potential for someone in control of a mistakenly associated device to obtain DoD sensitive information without authorization. Requiring a password before such an association mitigates this risk. Passwords do not require any administration and are not required to comply with any complexity requirements.
",Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAirPlayOutgoingRequestsPairingPassword</key>
<true/>
----

",IA-3,,,FMT_SMF_EXT.1.1 #40,"AIOS-16-010900
AIOS-16-710900",,,,,CCI-000063,low,
CCE-93211-1,os_allow_contacts_read_managed_sources_unmanaged_destinations_disable,Ensure Managed Apps Cannot Read Unmanaged Contact Accounts,Managed Apps _MUST_ not be allowed to read contacts from unamanged contact destinations. ,Manual, ,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowUnmanagedToReadManagedContacts</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,"FMT_SMF_EXT.1.1 #42
FDP_ACF_EXT.1.2","AIOS-16-012400
AIOS-16-012400",,,,,"CCI-000366
CCI-000051
CCI-000370",low,
CCE-93212-9,os_allow_contacts_write_managed_sources_unmanaged_destinations_disable,Ensure Managed Apps Cannot Write to Unmanaged Contact Accounts,Managed Apps _MUST_ not be allowed to write contacts to unamanged contact destinations.  ,Manual,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowManagedToWriteUnmanagedContacts</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,"FMT_SMF_EXT.1.1 #42
FDP_ACF_EXT.1.2","AIOS-16-012300
AIOS-16-712300",,3.3,,,"CCI-000366
CCI-000051
CCI-000370",low,
