CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,SFR,DISA STIG,CIS Benchmark,CIS v8,CMMC,indigo,CCI,Severity,Modified Rule
CCE-94479-3,icloud_backup_disabled,Ensure iCloud Backup is set to Disabled,"iCloud backup _MUST_ be disabled.
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudBackup</key>
<false/>
----

","SC-4
AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,,,,,,,,,
CCE-94484-3,icloud_drive_disable,Ensure Allow iCloud Documents and Data is set to Disabled,"Institutionally owned devices _MUST_ not sync data through iCloud.
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudDocumentSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,,,,,,,,,
CCE-94480-1,icloud_keychain_disable,Disable iCloud Keychain Sync,"The system's ability to automatically synchronize a user's passwords to their iCloud account _MUST_ be disabled. 
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudKeychainSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,,,,,,,,,
CCE-94481-9,icloud_managed_apps_store_data_disabled,Ensure Managed Apps Storing Data in iCloud is Set to Disabled,"Managed Apps _MUST_ not store data in iCloud.
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowManagedAppsCloudSync</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,,,,,,,,,
CCE-94482-7,icloud_photos_disable,Disable iCloud Photo Library,"The built-in Photos.app connection to Apple's iCloud service _MUST_ be disabled.
Apple's iCloud service does not provide an organization with enough control over the storage and access of data and, therefore, automated photo synchronization _MUST_ be controlled by an organization approved service.
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudPhotoLibrary</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,,,,,,,,,
CCE-94483-5,icloud_private_relay_disable,Disable iCloud Private Relay,"Enterprise networks may be required to audit all network traffic by policy, therefore, iCloud Private Relay _MUST_ be disabled.

Network administrators can also prevent the use of this feature by blocking DNS resolution of mask.icloud.com and mask-h2.icloud.com.
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowCloudPrivateRelay</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)
SC-7(10)",,,,,,,,,,,
CCE-94485-0,os_account_modification_disable,Disable AppleID and Internet Account Modifications,"The system _MUST_ disable account modification. 

Account modification includes adding additional or modifying internet accounts in Apple Mail, Calendar, Contacts, in the Internet Account System Setting Pane, or the AppleID System Setting Pane.

This prevents the addition of unauthorized accounts.

[IMPORTANT]
====
Some organizations may allow the use and configuration of the built-in Mail.app, Calendar.app, and Contacts.app for organizational communication. Information System Security Officers (ISSOs) may make the risk-based decision not to disable the Internet Accounts System Preference pane to avoid losing this functionality, but they are advised to first fully weigh the potential risks posed to their organization.
====
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAccountModification</key>
<false/>
----

","AC-20
AC-20(1)
CM-7
CM-7(1)",,,,,,,,,,,
CCE-94486-8,os_airdrop_disable,Ensure AirDrop is set to Disabled,"AirDrop _MUST_ be disabled to prevent file transfers to or from unauthorized devices.

AirDrop allows users to share and receive files from other nearby Apple devices. 
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowAirDrop</key>
<false/>
----

","AC-3
AC-20
CM-7
CM-7(1)",,,,,,,,,,,
CCE-94487-6,os_airdrop_unmanaged_destination_enable,Ensure Treat AirDrop as unmanaged destination is set to Enabled,"AirDrop _MUST_ be treated as an unmanaged destination.
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>forceAirDropUnmanaged</key>
<true/>
----

","AC-3
AC-20
CM-7
CM-7(1)
MP-2
SC-7(10)",,,,,,,,,,,
CCE-94488-4,os_allow_contacts_read_managed_sources_unmanaged_destinations_disable,Ensure Managed Apps Cannot Read Unmanaged Contact Accounts,"Managed Apps _MUST_ not be allowed to read contacts from unamanged contact destinations.
",Configuration Profile,,,"Create a configuration profile containing the following keys in the (com.apple.applicationaccess) payload type:

[source,xml]
----
<key>allowUnmanagedToReadManagedContacts</key>
<false/>
----

","AC-3
MP-2
SC-7(10)
SC-39",,,,,,,,,,,
