Unnamed: 0,Last modified: 2010-09-25,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Version: 5.20100926,,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Old v4 CCE ID,"Microsoft Security Compliance Management Toolkit for Internet Explorer 8, Version 1.0: ""Internet Explorer 8 Security Baseline.xml""",Microsoft Security Compliance Manager (SCM) Baselines and Settings Packs,USGCB Beta 2010-08-31 XCCDF (USGCB-ie8_xccdf.xml),USGCB Beta 2010-08-31 OVAL (USGCB-ie8_oval.xml)
CCE-10002-4,"The ""Allow cut, copy or paste operations from the clipboard via script"" machine setting should be configured correctly for the Internet Zone.",enabled/disabled/prompt,"(1) GPO: Computer Configuration\Administrative Templates\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone\Allow cut, copy or paste operations from the clipboard via script 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3\1407",,CCE-49,"Setting Index #32: This policy setting allows you to manage whether scripts can perform a clipboard operation (for example, cut, copy, and paste) in the security zone.  ","Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Internet Explorer 8
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940",,
CCE-10004-0,"The ""Only allow approved domains to use ActiveX controls without prompt"" machine setting should be configured correctly for the Locked-Down Restricted Sites Zone.",enabled/disabled,"(1) GPO: Computer Configuration\Administrative Templates\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Restricted Sites Zone\Only allow approved domains to use ActiveX controls without prompt 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Lockdown_Zones\4\120b",,,Setting Index #20: This policy setting controls whether or not the user is prompted to allow ActiveX controls to run on Web sites other than the Web site that installed the ActiveX control.,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Internet Explorer 8
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940",,
CCE-10033-9,"The ""Allow drag and drop or copy and paste files"" machine setting should be configured correctly for the Internet Zone.",enabled/disabled/prompt,"(1) GPO: Computer Configuration\Administrative Templates\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Internet Zone\Allow drag and drop or copy and paste files 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3\1802",,CCE-685,Setting Index #33: This policy setting allows you to manage whether users can drag files or copy and paste files from a source within the zone. ,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Internet Explorer 8
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940",,
CCE-10037-0,"The ""Security Zones: Do not allow users to change policies"" machine setting should be configured correctly.",enabled/disabled,"(1) GPO: Computer Configuration\Administrative Templates\Windows Components\Internet Explorer\Security Zones: Do not allow users to change policies 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Security_options_edit",,CCE-833,"Setting Index #91: If you enable this policy setting, you disable the Custom Level button and Security level for this zone slider on the Security tab in the Internet Options dialog box.","Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Internet Explorer 8
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940",,
CCE-10052-9,"The ""Allow software to run or install even if the signature is invalid"" machine setting should be configured correctly.",enabled/disabled,"(1) GPO: Computer Configuration\Administrative Templates\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page\Allow software to run or install even if the signature is invalid 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Internet Explorer\Download\RunInvalidSignatures",,CCE-449,Setting Index #83: Allow software to run or install even if the signature is invalid,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Internet Explorer 8
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940",,
CCE-10065-1,"The ""Use SmartScreen Filter"" machine setting should be configured correctly for the Locked-Down Trusted Sites Zone.",enabled/disabled,"(1) GPO: Computer Configuration\Administrative Templates\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Locked-Down Trusted Sites Zone\Use SmartScreen Filter 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Lockdown_Zones\2\2301",,,Setting Index #22: This policy setting controls whether SmartScreen Filter scans pages in this zone for malicious content.,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Internet Explorer 8
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940",,
CCE-10074-3,"The ""Check for server certificate revocation"" machine setting should be configured correctly.",enabled/disabled,"(1) GPO: Computer Configuration\Administrative Templates\Windows Components\Internet Explorer\Internet Control Panel\Advanced Page\Check for server certificate revocation 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\CertificateRevocation",,CCE-690,Setting Index #24: This policy setting allows you to manage whether Internet Explorer will check revocation status of servers' certificates. ,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Internet Explorer 8
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940",,
CCE-10083-4,"The ""Scripting of Java applets"" machine setting should be configured correctly for the Restricted Sites Zone.",enabled/disabled/prompt,"(1) GPO: Computer Configuration\Administrative Templates\Windows Components\Internet Explorer\Internet Control Panel\Security Page\Restricted Sites Zone\Scripting of Java applets 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4\1402",,CCE-1000,Setting Index #77: This policy setting allows you to manage whether applets are exposed to scripts within the zone. ,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Internet Explorer 8
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940",,
