Unnamed: 0,Last modfied: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Version: 5.20130214,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Microsoft Online Documentation,"Cert-In
Securing IIS 6.0 Web Server","STIG
IIS6 Site 
Version: 6 
Release: 13 Benchmark Date: 28 Oct 2011","STIG
IIS6 Server 
Version: 6 
Release: 13 Benchmark Date: 28 Oct 2011 "
CCE-19815-0,The path of the IIS Web Root folder should be configured correctly.,(1) local path,(1)  Internet Information Services (IIS) Manager GUI: Server > Right Click on the specified website > Properties > Home Directory tab,,,,"Rule Title:  The web document (home) directory must be on a separate partition from the web servers system files.
STIG ID: WG205 IIS6  Rule ID: SV-30041r2_rule  Vuln ID: V-3333",
CCE-19592-5,The IIS Web Root directory should be named appropriately.,(1) directory names,(1) Internet Information Services (IIS) Manager GUI: Server > Right Click on the specified website > Properties > Home Directory tab,,,"4.2.6 Securing the Web Site Directory and Content, pg 21",,
CCE-19534-7,Individual IP addresses should be configured as appropriate for the specified websites.,"(1) TARGET: website
(2) IP address",(1) Internet Information Services (IIS) Manager GUI: Server > Right Click on the specified website > Properties > Server > Web Site Identification > IP address,,http://www.microsoft.com/technet/prodtechnol/WindowsServer2003/Library/IIS/1c1d212b-18ae-414a-b5ec-eaf5b000a0c3.mspx?mfr=true,,,
CCE-19871-3,The specified websites should be configured to use the appropriate network interfaces.,"(1) TARGET: website
(2) exist/not exist",(1) Internet Information Services (IIS) Manager GUI: Server > Right Click on the specified website > Properties > Server > Web Site Identification > All Unassigned,,http://www.microsoft.com/technet/prodtechnol/WindowsServer2003/Library/IIS/1c1d212b-18ae-414a-b5ec-eaf5b000a0c3.mspx?mfr=true,,,
CCE-19689-9,"The master home directory ""Enable Logging"" setting should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Server > Enable Logging,,http://technet.microsoft.com/en-us/library/cc779359%28v=ws.10%29.aspx,Table 6: Web Site Permissions That Are Supported by IIS 6.0 pg 21,,
CCE-19133-8,"The master home directory ""Read"" permission should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Home Directory tab > Read,,,Table 6: Web Site Permissions That Are Supported by IIS 6.0 pg 21,,
CCE-20048-5,"The master home directory ""Write"" permission should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Home Directory tab > Write,,,Table 6: Web Site Permissions That Are Supported by IIS 6.0 pg 21,,
CCE-20017-0,"The master home directory ""Script Source Access"" permission should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Home Directory tab > Script Source,,,Table 6: Web Site Permissions That Are Supported by IIS 6.0 pg 21,,
CCE-19479-5,"The master home directory ""Directory Browsing"" permission should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Home Directory tab > Directory Browsing,,,Table 6: Web Site Permissions That Are Supported by IIS 6.0 pg 21,,
CCE-19263-3,"The master home directory ""Log Visits"" permission should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Home Directory tab > Log Visits,,,Table 6: Web Site Permissions That Are Supported by IIS 6.0 pg 21,,
CCE-19322-7,"The master home directory ""Index this resource"" permission should be enabled or disabled as appropriate.",(1) none/scripts/scripts&executables,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Home Directory tab > Index this resource,,,Table 6: Web Site Permissions That Are Supported by IIS 6.0 pg 21,,
CCE-19625-3,"The master home directory ""Execute Permissions"" permission should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Home Directory tab > Execute Permissions,,,Table 6: Web Site Permissions That Are Supported by IIS 6.0 pg 21,,
CCE-19903-4,"The master home directory ""Anonymous Access"" permission for IIS websites should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Directory Security > Authentication and Access Control tab > Anonymous Access,,,4.2.2 Authentication pg 16,,
CCE-19259-1,"The master home directory ""Basic Authentication"" setting should be enabled or disabled.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Directory Security > Authentication and Access Control tab > Authenticated Access,,,4.2.2 Authentication pg 16,,
CCE-19685-7,"The master home directory ""Integrated Windows Authentication"" setting should be enabled or disabled.",(1) enabled/disabled,(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Directory Security > Authentication and Access Control tab > Authenticated Access,,,4.2.2 Authentication pg 16,,
CCE-19932-3,"The ""Enable Logging"" setting should be enabled or disabled for the specified web server","(1) TARGET: server
(2) enabled/disabled",(1) Internet Information Services (IIS) Manager GUI: Server > Right Click on the specified website > Properties > Server > Enable Logging,,,,"Rule Title:  Logs of web server access and errors must be established and maintained.
STIG ID: WG240 IIS6  Rule ID: SV-38065r1_rule  Vuln ID: V-2250",
CCE-19506-5,"The ""Read"" permission should be enabled or disabled as appropriate for the home directory of the specified websites.","(1) TARGET: website
(2) enabled/disabled",(1) Internet Information Services (IIS) Manager GUI: Right Click on the specified website > Properties > Home Directory tab > Read,,,,"Rule Title:  The IIS web site permissions ""Write"" or ""Script Source"" must not be selected.
STIG ID: WA000-WI092 IIS6  Rule ID: SV-38020r1_rule  Vuln ID: V-13699",
CCE-19406-8,"The ""Write"" privilege  should be enabled or disabled as appropriate for the home directory of the specified websites.","(1) TARGET: website
(2) enabled/disabled",(1) Internet Information Services (IIS) Manager GUI: Server > Right Click on the specified website > Properties > Home Directory tab > Write,,,,"Rule Title:  The IIS web site permissions ""Write"" or ""Script Source"" must not be selected.
STIG ID: WA000-WI092 IIS6  Rule ID: SV-38020r1_rule  Vuln ID: V-13699",
CCE-20005-5,"The ""Script Source Access"" permission should be enabled or disabled as appropriate for the home directory of the specified websites.","(1) TARGET: website
(2) enabled/disabled",(1) Internet Information Services (IIS) Manager GUI: Right Click on Server > Properties > Home Directory tab > Script Source,,,,"Rule Title:  The IIS web site permissions ""Write"" or ""Script Source"" must not be selected.
STIG ID: WA000-WI092 IIS6  Rule ID: SV-38020r1_rule  Vuln ID: V-13699",
CCE-19655-0,"The ""Directory Browsing"" permission should be enabled or disabled as appropriate for the home directory of the specified websites.","(1) TARGET: website
(2) enabled/disabled",(1) Internet Information Services (IIS) Manager GUI: Server > Right Click on the specified website > Properties > Home Directory tab > Directory Browsing,,,,"Rule Title:  Directory browsing must be disabled.
STIG ID: WA000-WI090 IIS6  Rule ID: SV-38016r1_rule  Vuln ID: V-6755",
CCE-19324-3,"The""Log Visits"" permission should be enabled or disabled as appropriate for the home directory of the specified websites.","(1) TARGET: website
(2) enabled/disabled",(1) Internet Information Services (IIS) Manager GUI: Server > Right Click on the specified website > Properties > Home Directory tab > Log Visits,,,,"Rule Title:  Logs of web server access and errors must be established and maintained.
STIG ID: WG240 IIS6  Rule ID: SV-38065r1_rule  Vuln ID: V-2250",
