CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,DISA STIG,CCI
CCE-84721-0,auth_pam_login_smartcard_enforce,Enforce Multifactor Authentication for Login,"The system _MUST_ be configured to enforce multifactor authentication.

All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.

NOTE: /etc/pam.d/login will be automatically modified to its original state following any update or major upgrade to the operating system.
",Script,"/usr/bin/grep -Ec '^(auth\s+sufficient\s+pam_smartcard.so|auth\s+required\s+pam_deny.so)' /etc/pam.d/login
",{'integer': 2},"[source,bash]
----
/bin/cat > /etc/pam.d/login << LOGIN_END
# login: auth account password session
auth        sufficient    pam_smartcard.so
auth        optional      pam_krb5.so use_kcminit
auth        optional      pam_ntlm.so try_first_pass
auth        optional      pam_mount.so try_first_pass
auth        required      pam_opendirectory.so try_first_pass
auth        required      pam_deny.so
account     required      pam_nologin.so
account     required      pam_opendirectory.so
password    required      pam_opendirectory.so
session     required      pam_launchd.so
session     required      pam_uwtmp.so
session     optional      pam_mount.so
LOGIN_END


/bin/chmod 644 /etc/pam.d/login
/usr/sbin/chown root:wheel /etc/pam.d/login
----
","IA-2(1)
IA-2(2)
IA-2(8)",3.5.3,SRG-OS-000480-GPOS-00227,AOSX-15-003050,CCI-000366
CCE-84722-8,auth_pam_su_smartcard_enforce,Enforce Multifactor Authentication for the su Command,"The system _MUST_ be configured such that, when the su command is used, multifactor authentication is enforced.

All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.

NOTE: /etc/pam.d/su will be automatically modified to its original state following any update or major upgrade to the operating system.
",Script,"/usr/bin/grep -Ec '^(auth\s+sufficient\s+pam_smartcard.so|auth\s+required\s+pam_rootok.so)' /etc/pam.d/su
",{'integer': 2},"[source,bash]
----
/bin/cat > /etc/pam.d/su << SU_END
# su: auth account password session
auth        sufficient    pam_smartcard.so
auth        required      pam_rootok.so
auth        required      pam_group.so no_warn group=admin,wheel ruser root_only fail_safe
account     required      pam_permit.so
account     required      pam_opendirectory.so no_check_shell
password    required      pam_opendirectory.so
session     required      pam_launchd.so
SU_END

# Fix new file ownership and permissions
/bin/chmod 644 /etc/pam.d/su
/usr/sbin/chown root:wheel /etc/pam.d/su
----
","IA-2(1)
IA-2(2)
IA-2(8)",3.5.3,SRG-OS-000480-GPOS-00227,AOSX-15-003051,CCI-000366
CCE-84723-6,auth_pam_sudo_smartcard_enforce,Enforce Multifactor Authentication for Privilege Escalation Through the sudo Command,"The system _MUST_ be configured to enforce multifactor authentication when the sudo command is used to elevate privilege. 

All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.

NOTE: /etc/pam.d/sudo will be automatically modified to its original state following any update or major upgrade to the operating system.
",Script,"/usr/bin/grep -Ec '^(auth\s+sufficient\s+pam_smartcard.so|auth\s+required\s+pam_deny.so)' /etc/pam.d/sudo
",{'integer': 2},"[source,bash]
----

/bin/cat > /etc/pam.d/sudo << SUDO_END
# sudo: auth account password session
auth        sufficient    pam_smartcard.so
auth        required      pam_opendirectory.so
auth        required      pam_deny.so
account     required      pam_permit.so
password    required      pam_deny.so
session     required      pam_permit.so
SUDO_END

/bin/chmod 444 /etc/pam.d/sudo
/usr/sbin/chown root:wheel /etc/pam.d/sudo
----
","IA-2(1)
IA-2(2)
IA-2(8)",3.5.3,SRG-OS-000480-GPOS-00227,AOSX-15-003052,CCI-000366
CCE-84724-4,auth_smartcard_allow,Allow Smartcard Authentication,"Smartcard authentication _MUST_ be allowed. 

The use of smartcard credentials facilitates standardization and reduces the risk of unauthorized access.

When enabled, the smartcard can be used for login, authorization, and screen saver unlocking.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.smartcard')\
.objectForKey('allowSmartCard').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.security.smartcard) payload type:

[source,xml]
----
<key>allowSmartCard</key>
<true/>
----

","IA-2(1)
IA-2(2)
IA-2(12)",,SRG-OS-000376-GPOS-00161,,
CCE-84725-1,auth_smartcard_certificate_trust_enforce_high,Set Smartcard Certificate Trust to High,"The macOS system _MUST_ be configured to block access to users who are no longer authorized (i.e., users with revoked certificates).  

To prevent the use of untrusted certificates, the certificates on a smartcard card _MUST_ meet the following criteria: its issuer has a system-trusted certificate, the certificate is not expired, its ""valid-after"" date is in the past, and it passes Certificate Revocation List (CRL) and Online Certificate Status Protocol (OCSP) checking.

By setting the smartcard certificate trust level to high, the system will execute a hard revocation, i.e., a network connection is required. A verified positive response from the OSCP/CRL server is required for authentication to succeed.

NOTE: Before applying this setting, please see the smartcard supplemental guidance.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.smartcard')\
.objectForKey('checkCertificateTrust').js
EOS
",{'integer': 3},"Create a configuration profile containing the following keys in the (com.apple.security.smartcard) payload type:

[source,xml]
----
<key>checkCertificateTrust</key>
<integer>3</integer>
----

","IA-5(2)
SC-17",,SRG-OS-000067-GPOS-00035,AOSX-15-003002,CCI-000186
CCE-84726-9,auth_smartcard_certificate_trust_enforce_moderate,Set Smartcard Certificate Trust to Moderate,"The macOS system _MUST_ be configured to block access to users who are no longer authorized (i.e., users with revoked certificates).  

To prevent the use of untrusted certificates, the certificates on a smartcard card _MUST_ meet the following criteria: its issuer has a system-trusted certificate, the certificate is not expired, its ""valid-after"" date is in the past, and it passes Certificate Revocation List (CRL) and Online Certificate Status Protocol (OCSP) checking.

By setting the smartcard certificate trust level to moderate, the system will execute a soft revocation, i.e., if the OCSP/CRL server is unreachable, authentication will still succeed.

NOTE: Before applying this setting, please see the smartcard supplemental guidance.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.smartcard')\
.objectForKey('checkCertificateTrust').js
EOS
",{'integer': 2},"Create a configuration profile containing the following keys in the (com.apple.security.smartcard) payload type:

[source,xml]
----
<key>checkCertificateTrust</key>
<integer>2</integer>
----

","IA-5(2)
SC-17",,"SRG-OS-000376-GPOS-00161
SRG-OS-000377-GPOS-00162
SRG-OS-000384-GPOS-00167
SRG-OS-000403-GPOS-00182
SRG-OS-000067-GPOS-00035",AOSX-15-001060,"CCI-000186
CCI-001953
CCI-001954
CCI-001991
CCI-002470"
CCE-84727-7,auth_smartcard_enforce,Enforce Smartcard Authentication,"Smartcard authentication _MUST_ be enforced.

The use of smartcard credentials facilitates standardization and reduces the risk of unauthorized access.

When enforceSmartCard is set to “true”, the smartcard must be used for login, authorization, and unlocking the screensaver.

CAUTION: enforceSmartCard will apply to the whole system. No users will be able to login with their password unless the profile is removed or a user is exempt from smartcard enforcement.

NOTE: enforceSmartcard requires allowSmartcard to be set to true in order to work.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.smartcard')\
.objectForKey('enforceSmartCard').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.security.smartcard) payload type:

[source,xml]
----
<key>enforceSmartCard</key>
<true/>
----

","IA-2(1)
IA-2(2)
IA-2(6)
IA-2
IA-5(2)
IA-2(12)
IA-2(8)","3.5.1
3.5.2
3.5.3","SRG-OS-000068-GPOS-00036
SRG-OS-000105-GPOS-00052
SRG-OS-000106-GPOS-00053
SRG-OS-000107-GPOS-00054
SRG-OS-000108-GPOS-00055
SRG-OS-000125-GPOS-00065
SRG-OS-000375-GPOS-00160",AOSX-15-003020,"CCI-000187
CCI-000765
CCI-000766
CCI-000767
CCI-000768
CCI-000877
CCI-001948"
CCE-84924-0,auth_ssh_password_authentication_disable,Disable Password Authentication for SSH,"If remote login through SSH is enabled, password based authentication _MUST_ be disabled for user login.

All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.

NOTE: /etc/ssh/sshd_config will be automatically modified to its original state following any update or major upgrade to the operating system.
",Script,"/usr/bin/grep -Ec '^(PasswordAuthentication\s+no|ChallengeResponseAuthentication\s+no)' /etc/ssh/sshd_config
",{'integer': 2},"[source,bash]
----
/usr/bin/sed -i.bak_$(date ""+%Y-%m-%d_%H:%M"") ""s\|#PasswordAuthentication yes\|PasswordAuthentication no\|; s\|#ChallengeResponseAuthentication yes\|ChallengeResponseAuthentication no\|"" /etc/ssh/sshd_config; /bin/launchctl kickstart -k system/com.openssh.sshd
----
","IA-2(1)
IA-2(2)
IA-2(6)
IA-2
IA-5(2)
MA-4
IA-2(8)","3.5.1
3.5.2
3.5.3
3.7.5",,,
CCE-84701-2,audit_acls_files_configure,Configure Audit Log Files to Not Contain Access Control Lists,"The audit log files _MUST_ not contain access control lists (ACLs).

This rule ensures that audit information and audit files are configured to be readable and writable only by system administrators, thereby preventing unauthorized access, modification, and deletion of files.
",Script,"/bin/ls -le $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{print $1}' | /usr/bin/grep -c "":""
",{'integer': 0},"[source,bash]
----
/bin/chmod -RN $(/usr/bin/awk -F: '/^dir/{print $2}' /etc/security/audit_control)
----
","SI-11
AU-9",3.3.8,"SRG-OS-000057-GPOS-00027
SRG-OS-000206-GPOS-00084",AOSX-15-000030,"CCI-000162
CCI-001314"
CCE-84704-6,audit_acls_folders_configure,Configure Audit Log Folder to Not Contain Access Control Lists,"The audit log folder _MUST_ not contain access control lists (ACLs).

Audit logs contain sensitive data about the system and users. This rule ensures that the audit service is configured to create log folders that are readable and writable only by system administrators in order to prevent normal users from reading audit logs.
",Script,"/bin/ls -lde $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{print $1}' | /usr/bin/grep -c "":""
",{'integer': 0},"[source,bash]
----
/bin/chmod -N $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,AOSX-15-000031,CCI-000162
CCE-84706-1,audit_auditd_enabled,Enable Security Auditing,"The information system _MUST_ be configured to generate audit records. 

Audit records establish what types of events have occurred, when they occurred, and which users were involved. These records aid an organization in their efforts to establish, correlate, and investigate the events leading up to an outage or attack.

The content required to be captured in an audit record varies based on the impact level of an organization's system. Content that may be necessary to satisfy this requirement includes, for example, time stamps, source addresses, destination addresses, user identifiers, event descriptions, success/fail indications, filenames involved, and access or flow control rules invoked.

The information system initiates session audits at system start-up.

NOTE: Security auditing is enabled by default on macOS.
",Script,"/bin/launchctl list | /usr/bin/grep -c com.apple.auditd
",{'integer': 1},"[source,bash]
----
/bin/launchctl load -w /System/Library/LaunchDaemons/com.apple.auditd.plist
----
","AU-3
AU-3(1)
AU-8
AU-12
AU-12(1)
AU-12(3)
AU-14(1)
MA-4(1)
CM-5(1)","3.3.1
3.3.2
3.3.7","SRG-OS-000037-GPOS-00015
SRG-OS-000038-GPOS-00016
SRG-OS-000039-GPOS-00017
SRG-OS-000040-GPOS-00018
SRG-OS-000041-GPOS-00019
SRG-OS-000042-GPOS-00020
SRG-OS-000042-GPOS-00021
SRG-OS-000055-GPOS-00026
SRG-OS-000254-GPOS-00095
SRG-OS-000255-GPOS-00096
SRG-OS-000303-GPOS-00120
SRG-OS-000337-GPOS-00129
SRG-OS-000358-GPOS-00145
SRG-OS-000359-GPOS-00146",AOSX-15-001003,"CCI-000130
CCI-000131
CCI-000132
CCI-000133
CCI-000134
CCI-000135
CCI-000159
CCI-001464
CCI-001487
CCI-001889
CCI-001890
CCI-001914
CCI-002130"
CCE-84707-9,audit_configure_capacity_notify,Configure Audit Capacity Warning,"The audit service _MUST_ be configured to notify the system administrator when the amount of free disk space remaining reaches an organization defined value. 

This rule ensures that the system administrator is notified in advance that action is required to free up more disk space for audit logs.
",Script,"/usr/bin/grep -c ""^minfree:25"" /etc/security/audit_control
",{'integer': 1},"[source,bash]
----
/usr/bin/sed -i.bak 's/.*minfree.*/minfree:25/' /etc/security/audit_control; /usr/sbin/audit -s 
----
",AU-5(1),,SRG-OS-000343-GPOS-00134,AOSX-15-001030,CCI-001855
CCE-84708-7,audit_failure_halt,Configure System to Shut Down Upon Audit Failure,"The audit service _MUST_ be configured to shut down the computer if it is unable to audit system events. 

Once audit failure occurs, user and system activity are no longer recorded, and malicious activity could go undetected. Audit processing failures can occur due to software/hardware errors, failures in the audit capturing mechanisms, and audit storage capacity being reached or exceeded. 
",Script,"/usr/bin/awk -F':' '/^policy/ {print $NF}' /etc/security/audit_control | /usr/bin/tr ',' '\n' | /usr/bin/grep -Ec 'ahlt' 
",{'integer': 1},"[source,bash]
----
/usr/bin/sed -i.bak 's/^policy.*/policy: ahlt,argv/' /etc/security/audit_control; /usr/sbin/audit -s
----
",AU-5,3.3.4,SRG-OS-000047-GPOS-00023,AOSX-15-001010,CCI-000140
CCE-84709-5,audit_files_group_configure,Configure Audit Log Files Group to Wheel,"Audit log files _MUST_ have the group set to wheel.

The audit service _MUST_ be configured to create log files with the correct group ownership to prevent normal users from reading audit logs. 

Audit logs contain sensitive data about the system and users. If log files are set to be readable and writable only by system administrators, the risk is mitigated.
",Script,"/bin/ls -n $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{s+=$4} END {print s}'
",{'integer': 0},"[source,bash]
----
/usr/bin/chgrp -R wheel $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')/*
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,AOSX-15-001014,CCI-000162
