CCE,Rule ID,Title,Discussion,Mechanism,Check,Check Result,Fix,800-53r5,800-171,SRG,DISA STIG,CCI
CCE-90877-2,auth_pam_login_smartcard_enforce,Enforce Multifactor Authentication for Login,"The system _MUST_ be configured to enforce multifactor authentication.

All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.

IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization, or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.

NOTE: /etc/pam.d/login will be automatically modified to its original state following any update or major upgrade to the operating system.
",Script,"/usr/bin/grep -Ec '^(auth\s+sufficient\s+pam_smartcard.so|auth\s+required\s+pam_deny.so)' /etc/pam.d/login
",{'integer': 2},"[source,bash]
----
/bin/cat > /etc/pam.d/login << LOGIN_END
# login: auth account password session
auth        sufficient    pam_smartcard.so
auth        optional      pam_krb5.so use_kcminit
auth        optional      pam_ntlm.so try_first_pass
auth        optional      pam_mount.so try_first_pass
auth        required      pam_opendirectory.so try_first_pass
auth        required      pam_deny.so
account     required      pam_nologin.so
account     required      pam_opendirectory.so
password    required      pam_opendirectory.so
session     required      pam_launchd.so
session     required      pam_uwtmp.so
session     optional      pam_mount.so
LOGIN_END


/bin/chmod 644 /etc/pam.d/login
/usr/sbin/chown root:wheel /etc/pam.d/login
----
","IA-2(1)
IA-2(2)
IA-2(8)",3.5.3,SRG-OS-000480-GPOS-00227,APPL-12-003050,CCI-000366
CCE-90878-0,auth_pam_su_smartcard_enforce,Enforce Multifactor Authentication for the su Command,"The system _MUST_ be configured such that, when the su command is used, multifactor authentication is enforced.

All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.

IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization, or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.

NOTE: /etc/pam.d/su will be automatically modified to its original state following any update or major upgrade to the operating system.
",Script,"/usr/bin/grep -Ec '^(auth\s+sufficient\s+pam_smartcard.so|auth\s+required\s+pam_rootok.so)' /etc/pam.d/su
",{'integer': 2},"[source,bash]
----
/bin/cat > /etc/pam.d/su << SU_END
# su: auth account password session
auth        sufficient    pam_smartcard.so
auth        required      pam_rootok.so
auth        required      pam_group.so no_warn group=admin,wheel ruser root_only fail_safe
account     required      pam_permit.so
account     required      pam_opendirectory.so no_check_shell
password    required      pam_opendirectory.so
session     required      pam_launchd.so
SU_END

# Fix new file ownership and permissions
/bin/chmod 644 /etc/pam.d/su
/usr/sbin/chown root:wheel /etc/pam.d/su
----
","IA-2(1)
IA-2(2)
IA-2(8)",3.5.3,SRG-OS-000480-GPOS-00227,APPL-12-003051,CCI-000366
CCE-90879-8,auth_pam_sudo_smartcard_enforce,Enforce Multifactor Authentication for Privilege Escalation Through the sudo Command,"The system _MUST_ be configured to enforce multifactor authentication when the sudo command is used to elevate privilege. 

All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.

IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization, or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.

NOTE: /etc/pam.d/sudo will be automatically modified to its original state following any update or major upgrade to the operating system.
",Script,"/usr/bin/grep -Ec '^(auth\s+sufficient\s+pam_smartcard.so|auth\s+required\s+pam_deny.so)' /etc/pam.d/sudo
",{'integer': 2},"[source,bash]
----

/bin/cat > /etc/pam.d/sudo << SUDO_END
# sudo: auth account password session
auth        sufficient    pam_smartcard.so
auth        required      pam_opendirectory.so
auth        required      pam_deny.so
account     required      pam_permit.so
password    required      pam_deny.so
session     required      pam_permit.so
SUDO_END

/bin/chmod 444 /etc/pam.d/sudo
/usr/sbin/chown root:wheel /etc/pam.d/sudo
----
","IA-2(1)
IA-2(2)
IA-2(8)",3.5.3,SRG-OS-000480-GPOS-00227,APPL-12-003052,CCI-000366
CCE-90880-6,auth_smartcard_allow,Allow Smartcard Authentication,"Smartcard authentication _MUST_ be allowed. 

The use of smartcard credentials facilitates standardization and reduces the risk of unauthorized access.

When enabled, the smartcard can be used for login, authorization, and screen saver unlocking.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.smartcard')\
.objectForKey('allowSmartCard').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.security.smartcard) payload type:

[source,xml]
----
<key>allowSmartCard</key>
<true/>
----

","IA-2(1)
IA-2(2)
IA-2(12)",,,,
CCE-90881-4,auth_smartcard_certificate_trust_enforce_high,Set Smartcard Certificate Trust to High,"The macOS system _MUST_ be configured to block access to users who are no longer authorized (i.e., users with revoked certificates).  

To prevent the use of untrusted certificates, the certificates on a smartcard card _MUST_ meet the following criteria: its issuer has a system-trusted certificate, the certificate is not expired, its ""valid-after"" date is in the past, and it passes Certificate Revocation List (CRL) and Online Certificate Status Protocol (OCSP) checking.

By setting the smartcard certificate trust level to high, the system will execute a hard revocation, i.e., a network connection is required. A verified positive response from the OSCP/CRL server is required for authentication to succeed.

NOTE: Before applying this setting, please see the smartcard supplemental guidance.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.smartcard')\
.objectForKey('checkCertificateTrust').js
EOS
",{'integer': 3},"Create a configuration profile containing the following keys in the (com.apple.security.smartcard) payload type:

[source,xml]
----
<key>checkCertificateTrust</key>
<integer>3</integer>
----

","IA-5(2)
SC-17",,,,CCI-000186
CCE-90882-2,auth_smartcard_certificate_trust_enforce_moderate,Set Smartcard Certificate Trust to Moderate,"The macOS system _MUST_ be configured to block access to users who are no longer authorized (i.e., users with revoked certificates).  

To prevent the use of untrusted certificates, the certificates on a smartcard card _MUST_ meet the following criteria: its issuer has a system-trusted certificate, the certificate is not expired, its ""valid-after"" date is in the past, and it passes Certificate Revocation List (CRL) and Online Certificate Status Protocol (OCSP) checking.

By setting the smartcard certificate trust level to moderate, the system will execute a soft revocation, i.e., if the OCSP/CRL server is unreachable, authentication will still succeed.

NOTE: Before applying this setting, please see the smartcard supplemental guidance.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.smartcard')\
.objectForKey('checkCertificateTrust').js
EOS
",{'integer': 2},"Create a configuration profile containing the following keys in the (com.apple.security.smartcard) payload type:

[source,xml]
----
<key>checkCertificateTrust</key>
<integer>2</integer>
----

","IA-5(2)
SC-17",,"SRG-OS-000376-GPOS-00161
SRG-OS-000377-GPOS-00162
SRG-OS-000384-GPOS-00167
SRG-OS-000403-GPOS-00182
SRG-OS-000067-GPOS-00035",APPL-12-001060,"CCI-000186
CCI-001953
CCI-001954
CCI-001991
CCI-002470"
CCE-90883-0,auth_smartcard_enforce,Enforce Smartcard Authentication,"Smartcard authentication _MUST_ be enforced.

The use of smartcard credentials facilitates standardization and reduces the risk of unauthorized access.

When enforceSmartCard is set to ""true"", the smartcard must be used for login, authorization, and unlocking the screensaver.

CAUTION: enforceSmartCard will apply to the whole system. No users will be able to login with their password unless the profile is removed or a user is exempt from smartcard enforcement.

NOTE: enforceSmartcard requires allowSmartcard to be set to true in order to work.
",Configuration Profile,"/usr/bin/osascript -l JavaScript << EOS
$.NSUserDefaults.alloc.initWithSuiteName('com.apple.security.smartcard')\
.objectForKey('enforceSmartCard').js
EOS
",{'string': 'true'},"Create a configuration profile containing the following keys in the (com.apple.security.smartcard) payload type:

[source,xml]
----
<key>enforceSmartCard</key>
<true/>
----

","IA-2(1)
IA-2(2)
IA-2(6)
IA-2
IA-5(2)
IA-2(12)
IA-2(8)","3.5.1
3.5.2
3.5.3","SRG-OS-000107-GPOS-00054
SRG-OS-000108-GPOS-00055
SRG-OS-000068-GPOS-00036",APPL-12-003020,"CCI-000187
CCI-000767
CCI-000768"
CCE-90884-8,auth_ssh_password_authentication_disable,Disable Password Authentication for SSH,"If remote login through SSH is enabled, password based authentication _MUST_ be disabled for user login.

All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.

NOTE: /etc/ssh/sshd_config will be automatically modified to its original state following any update or major upgrade to the operating system.
",Script,"/usr/bin/grep -Ec '^(PasswordAuthentication\s+no|ChallengeResponseAuthentication\s+no)' /etc/ssh/sshd_config
",{'integer': 2},"[source,bash]
----
/usr/bin/sed -i.bak_$(date ""+%Y-%m-%d_%H:%M"") ""s\|#PasswordAuthentication yes\|PasswordAuthentication no\|; s\|#ChallengeResponseAuthentication yes\|ChallengeResponseAuthentication no\|"" /etc/ssh/sshd_config; /bin/launchctl kickstart -k system/com.openssh.sshd
----
","IA-2(1)
IA-2(2)
IA-2(6)
IA-2
IA-5(2)
MA-4
IA-2(8)","3.5.1
3.5.2
3.5.3
3.7.5",,,
CCE-90851-7,audit_acls_files_configure,Configure Audit Log Files to Not Contain Access Control Lists,"The audit log files _MUST_ not contain access control lists (ACLs).

This rule ensures that audit information and audit files are configured to be readable and writable only by system administrators, thereby preventing unauthorized access, modification, and deletion of files.
",Script,"/bin/ls -le $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{print $1}' | /usr/bin/grep -c "":""
",{'integer': 0},"[source,bash]
----
/bin/chmod -RN $(/usr/bin/awk -F: '/^dir/{print $2}' /etc/security/audit_control)
----
",AU-9,3.3.8,"SRG-OS-000057-GPOS-00027
SRG-OS-000206-GPOS-00084",APPL-12-000030,"CCI-000162
CCI-001314"
CCE-90852-5,audit_acls_folders_configure,Configure Audit Log Folder to Not Contain Access Control Lists,"The audit log folder _MUST_ not contain access control lists (ACLs).

Audit logs contain sensitive data about the system and users. This rule ensures that the audit service is configured to create log folders that are readable and writable only by system administrators in order to prevent normal users from reading audit logs.
",Script,"/bin/ls -lde $(/usr/bin/grep '^dir' /etc/security/audit_control | /usr/bin/awk -F: '{print $2}') | /usr/bin/awk '{print $1}' | /usr/bin/grep -c "":""
",{'integer': 0},"[source,bash]
----
/bin/chmod -N $(/usr/bin/grep '^dir' /etc/security/audit_control \| /usr/bin/awk -F: '{print $2}')
----
",AU-9,3.3.8,SRG-OS-000057-GPOS-00027,APPL-12-000031,CCI-000162
