Unnamed: 0,Last modified: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Version: 5.20130214,,,,,
CCE ID,CCE Description,CCE Technical Mechanism,CCE Parameters,,"DISA STIG
SQL 2000 DB
Version 8, Release 1.7 Benchmark Date: 27 August 2010","DISA STIG
SQL 2000 INS
Version 8, Release 1.7 Benchmark Date: 27 August 2010"
CCE-20013-9,Application object owner accounts for a specified database should be enabled or disabled as appropriate.,(1) ALTER LOGIN,"(1) login_name
(2) enable/disable
(3) default_database",,Rule ID: V0005683 Rule Title: Application object owner accounts should be disabled when not performing installation or maintenance actions. STIG ID: DG0004 Severity: CAT II Class: Unclass,
CCE-19816-8,Application object owner accounts for a specified database should be configured appropriately.,"(1)From the query prompt:
    USE [database name]
    SELECT DISTINCT u.name
    FROM sysusers u, sysobjects o
    WHERE u.uid = o.uid
    AND u.uid NOT IN ('1', '3', '4')","(1) set of accounts
(2) database name",,Rule ID: V0015607 Rule Title: Application objects should be owned by accounts authorized for ownership. STIG ID: DG0008 Severity: CAT II Class: Unclass,
CCE-19517-2,Database application permissions allowing DDL statements to modify the application schema for a specified database should be configured appropriately.,"(1) USE [database name]
      SELECT USER_NAME(uid), name, crdate
      FROM sysobjects
      WHERE uid NOT IN (1, 3, 4)","(1) list of permissons                                                                     
(2) set of accounts
(3) database name",,Rule ID: V0003727 Rule Title: Database applications should be restricted from using static DDL statements to modify the application schema for a specified database. STIG ID: DG0015 Severity: CAT II Class: Unclass,
CCE-19448-0,"
Custom and GOTS application source code for a specified databased should be encrypted or not encrypted as appropriate.
",(1) ALTER PROCEDURE,"(1) [procedure name]
(2) WITH ENCRYPTION
(3) Custom/GOTS procedures
(4) Database Name",,Rule ID: V0003823 Rule Title: Custom and GOTS application source code stored in the database should be protected with encryption or encoding. STIG ID: DG0091 Severity: CAT III Class: Unclass,
CCE-19649-3,Permissions on system tables for a specified database should be configured appropriately ,(1) REVOKE / GRANT,"(1) list of permissons
(2) [object]
(3) [user name]
(4) [database name]",,Rule ID: V0002458 Rule Title: Permissions on system tables should be restricted to authorized accounts. STIG ID: DM1749 Severity: CAT II Class: Unclass,
CCE-19926-5,"DDL permissions for a specified database and specified account should be configured appropriately 
","(1) CREATE
(2) ALTER
(3) DROP
(1) REVOKE/GRANT CONTROL","(1) set of accounts
(2) list of permissions 
(3) database name",,Rule ID: V0002463 Rule Title: DDL permissions should be granted only to authorized accounts. STIG ID: DM1760 Severity: CAT II Class: Unclass,
CCE-19822-6,"Permissions using the WITH GRANT OPTION for a specified database should be configured appropriately 
",(1) REVOKE / GRANT,"(1) list of permissons
(2) [object]
(3) [user name]
(4) [database name]",,Rule ID: V0002498 Rule Title : Permissions using the WITH GRANT OPTION should be granted only to DBA or application administrator accounts. STIG ID: DM5144 Severity: CAT II Class: Unclass,
CCE-19220-3,"Object permissions assigned to PUBLIC or GUEST for a specified database should be configured appropriately.
",(1) REVOKE / GRANT,"(1) list of permissons
(2) [object]
(3) [public or guest]
(4) dtaabase name",,Rule ID: V0015172 Rule Title: Object permissions should not be assigned to PUBLIC or GUEST. STIG ID: DM6196,
