Unnamed: 0,Last modified: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Version: 5.20130214,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,"DISA STIG
SQL 2005 DB
Version 8, Release 1.7 Benchmark Date: 27 August 2010","DISA STIG
SQL 2005 INS
Version 8, Release 1.7 Benchmark Date: 27 August 2010",Microsoft Online Documentation
CCE-19557-8,"
Application object owner accounts for a specified database should be enabled or disabled as appropriate.","(1) login_name
(2) enable/disable
(3) default_database",(1) ALTER LOGIN,,Rule ID: V0005683 Rule Title: Application object owner accounts should be disabled when not performing installation or maintenance actions. STIG ID: DG0004 Severity: CAT II Class: Unclass,,
CCE-19528-9,"
Application object owner accounts for a specified database should be configured appropriately.","(1) set of accounts
(2) database name","(1)From the query prompt:
    USE [database name]
    SELECT DISTINCT u.name
    FROM sysusers u, sysobjects o
    WHERE u.uid = o.uid
    AND u.uid NOT IN ('1', '3', '4')",,Rule ID: V0015607 Rule Title: Application objects should be owned by accounts authorized for ownership. STIG ID: DG0008 Severity: CAT II Class: Unclass,,
CCE-19358-1,Database application permissions allowing DDL statements to modify the application schema for a specified database should be configured appropriately.,"(1) list of permissons                                                                     
(2) set of accounts
(3) database name","(1) USE [database name]
      SELECT USER_NAME(uid), name, crdate
      FROM sysobjects
      WHERE uid NOT IN (1, 3, 4)",,Rule ID: V0003727 Rule Title: Database applications should be restricted from using static DDL statements to modify the application schema for a specified database. STIG ID: DG0015 Severity: CAT II Class: Unclass,,
CCE-19972-9,"
Custom and GOTS application source code for a specified databased should be encrypted or not encrypted as appropriate.
","(1) [procedure name]
(2) WITH ENCRYPTION
(3) Custom/GOTS procedures
(4) Database Name",(1) ALTER PROCEDURE,,Rule ID: V0003823 Rule Title: Custom and GOTS application source code stored in the database should be protected with encryption or encoding. STIG ID: DG0091 Severity: CAT III Class: Unclass,,
CCE-19571-9,"
Access to manage the database master key for a specified database should be configured appropriately.","(1) list of users
(2) database name",(1) REVOKE / GRANT CONTROL,,Rule ID: V0015654 Rule Title: DBMS symmetric keys should be protected in accordance with NSA or NIST-approved key management technology or processes. STIG ID: DG0138 Severity: CAT II Class: Unclass,,
CCE-19853-1,Ownership of the asymmetric keys should be configured appropriately,"(1) set of audits
(2) list of permissons","(1) object owners 
(2) defined by objects DACL",,Rule ID: V0015142 Rule Title: Asymmetric keys should use DoD PKI Certificates and be protected in accordance with NIST (unclassified data) or NSA (classified data) approved key management and processes. STIG ID: DG0166 Severity: CAT II Class: Unclass,,
CCE-19878-8,Encryption of the asymmetric keys should be configured appropriately,"(1) set of audits
(2) list of permissons","(1) object owners 
(2) defined by objects DACL",,Rule ID: V0015142 Rule Title: Asymmetric keys should use DoD PKI Certificates and be protected in accordance with NIST (unclassified data) or NSA (classified data) approved key management and processes. STIG ID: DG0166 Severity: CAT II Class: Unclass,,
CCE-19148-6,Auditing of unauthorized access to the asymmetric keys should be configured appropriately,"(1) set of audits
(2) list of permissons","(1) object owners 
(2) defined by objects DACL",,Rule ID: V0015142 Rule Title: Asymmetric keys should use DoD PKI Certificates and be protected in accordance with NIST (unclassified data) or NSA (classified data) approved key management and processes. STIG ID: DG0166 Severity: CAT II Class: Unclass,,
CCE-19173-4,Permissions on system tables for a specified database should be configured appropriately ,"(1) list of permissons
(2) [object]
(3) [user name]
(4) [database name]",(1) REVOKE / GRANT,,Rule ID: V0002458 Rule Title: Permissions on system tables should be restricted to authorized accounts. STIG ID: DM1749 Severity: CAT II Class: Unclass,,
CCE-19159-3,"DDL permissions for a specified database and specified account should be configured appropriately 
","(1) set of accounts
(2) list of permissions 
(3) database name","(1) CREATE
(2) ALTER
(3) DROP
(1) REVOKE/GRANT CONTROL",,Rule ID: V0002463 Rule Title: DDL permissions should be granted only to authorized accounts. STIG ID: DM1760 Severity: CAT II Class: Unclass,,
CCE-19789-7,"Permissions using the WITH GRANT OPTION for a specified database should be configured appropriately 
","(1) list of permissons
(2) [object]
(3) [user name]
(4) [database name]",(1) REVOKE / GRANT,,Rule ID: V0002498 Rule Title : Permissions using the WITH GRANT OPTION should be granted only to DBA or application administrator accounts. STIG ID: DM5144 Severity: CAT II Class: Unclass,,
CCE-19832-5,"The Database Master key encryption password for a specified database should be configured appropriately 
","(1) <regenerate option> | <encryption_option>
(2) password
(3) database name",(1) ALTER MASTER KEY,,"Rule ID: V0015159 Rule Title: The Database Master key encryption password should meet DoD password complexity requirements. STIG ID: DM6175 Severity: CAT II Class: Unclass


",,http://msdn.microsoft.com/en-us/library/ms186937(v=sql.90).aspx
CCE-19670-9,The Database Master Key for the specified database should be encrypted appropriately.,"(1) encryption option
(2) key option",(1) ALTER MASTER KEY ,,Rule ID: V0015161 Rule Title: The Database Master Key should be encrypted by the Service Master Key where required. STIG ID: DM6179 Severity: CATII Class: Unclass,,
CCE-19922-4,"Storage of the database master key password for a speicifed database should be configured appropriately. 
",(1) database name  ,(1) sp_control_dbmasterkey_password,,Rule ID: V0015162 Rule Title: Database Master Key passwords should not be stored in credentials within the database. STIG ID: DM6180 Severity: CATII Class: Unclass,,
CCE-20019-6,"Protection of symmetric keys for a specified database should be configured appropriately 
","(1) key_name 
(2) ENCRYPTION
(3) [certificate | password | symmetric key | asymmetric key]
(4) Database name",(1) ALTER SYMMETRIC KEY,,"Rule ID: V0015168 Rule Title: Symmetric keys should use a master key, certificate, or asymmetric key to encrypt the key. STIG ID: DM6183 Severity: CATII Class: Unclass",,
CCE-19613-9,"Object permissions assigned to PUBLIC or GUEST for a specified database should be configured appropriately.
","(1) list of permissons
(2) [object]
(3) [public or guest]
(4) dtaabase name",(1) REVOKE / GRANT,,Rule ID: V0015172 Rule Title: Object permissions should not be assigned to PUBLIC or GUEST. STIG ID: DM6196,,
CCE-19862-2,Access to DBMS software files and directories should be configured appropriately.,"(1) set of accounts 
(2) list of permissions ",(1) defined by the object's DACL  ,,,Rule ID: V0015608 Rule Title: Access to DBMS software files and directories should not be granted to unauthorized users. STIG ID: DG0009 Severity: CAT II Class: Unclass,
CCE-19872-1,Default demonstration and sample database objects and applications should be available or removed as appropriate.,"(1) database_name 
(2) database_snapshot_name",(1) DROP DATABASE,,,Rule ID: V0015609 Rule Title: Default demonstration and sample database objects and applications should be removed. STIG ID: DG0014 Severity: CAT II Class: Unclass,
CCE-19877-0,Required auditing parameters for database auditing should be set appropriately ,(1) TraceID,(1) EXEC SP_TRACE_SETSTATUS,,,Rule ID: V0005685 Rule Title: Required auditing parameters for database auditing should be set. STIG ID: DG0029 Severity: CAT II Class: Unclass,
CCE-19778-0,"
DBMS privileges to restore database data or other DBMS configurations, features or objects in a specified database should be configured appropriately.","(1) database name
",(1) Use the SQL command to assign permissions to the appropriate roles,,,"Rule ID: V0015107 Rule Title: DBMS privileges to restore database data or other DBMS configurations, features or objects should be restricted to authorized DBMS accounts. STIG ID: DG0063 Severity: CAT II Class: Unclass",
