CCE ID v5,CCE Title,USGCB Setting,Technical Mechanism,Configuration Details,Rationale,Impact,800-53 Mapping,National Information Assurance Partnership Operating System Protection Profile,Center for Internet Security,Defense Information Systems Agency Security Security Requirements Guide,Configuration Group
CCE-80609-1,Disable Scheduler Profiling,disable,via profiling,"Profiling should be disabled if not needed. To disable profiling,
edit the Scheduler pod specification file
/etc/origin/master/master-config.yaml file on the master
node and set the below parameter:
kubernetesMasterConfig:
  schedulerArguments:
    profiling:
    - false","Profiling allows for the identification of specific performance
bottlenecks. It generates a significant amount of program data that could
potentially be exploited to uncover system and program details. If you are
not experiencing any bottlenecks and do not need the profiler for
troubleshooting purposes, it is recommended to turn it off to reduce the
potential attack surface.",low,,,,,OpenShift - Kubernetes - Scheduler Settings
CCE-80599-4,kubelet - Disable cAdvisor Port,disable,via cadvisor-port,"The cAdvisor port should be disabled as it does not require
any authentication to connect to the port.
To disable the cAdvisor port, edit the kubelet configuration
file /etc/origin/node/node-config.yaml
on the kubelet node(s) and set the below parameter:
kubeletArguments:
  cadvisor-port:
  - &#39;0&#39;","Any form of authentication to ports anonymously should be disabled. An attacker
could connect to the port and gain cluster information anonymously.",high,,,,,Kubernetes Kubelet Settings
CCE-80604-2,kubelet - Allow Automatic Firewall Configuration,enable,via make-iptables-util-chains,"The kubelet has the ability to automatically configure the firewall to allow
the containers required ports and connections to networking resources and destinations
parameters potentially creating a security incident.
To allow the kubelet to modify the firewall, edit the kubelet configuration
file /etc/origin/node/node-config.yaml
on the kubelet node(s) and set the below parameter:
kubeletArguments:
  make-iptables-util-chains:
  - &#39;true&#39;","The kubelet should automatically configure the firewall settings to allow access and
networking traffic through. This ensures that when a pod or container is running that
the correct ports are configured as well as removing the ports when a pod or
container is no longer in existence.",medium,,,,,Kubernetes Kubelet Settings
CCE-80600-0,kubelet - Disable Hostname Override,disable,via hostname-override,"To prevent the hostname from being overrided, edit the kubelet configuration file
/etc/origin/node/node-config.yaml on the kubelet node(s) and
remove the hostname-override option if it exists.","Allowing hostnames to be overrided creates issues around resolving nodes
in addition to TLS configuration, certificate validation, and log correlation
and validation.",medium,,,,,Kubernetes Kubelet Settings
CCE-80597-8,Ensure That The kubelet Server Key Is Correctly Set,verify,via cert-dir,"To ensure the kubelet TLS private server key certificate is configured, edit the
kubelet configuration file /etc/origin/node/node-config.yaml
and configure the cert-dir path for the kubelet certificates.
For example:
  cert-dir:
  - /etc/origin/node/certificates
A corresponding certificate should exist in the cert-dir. For
example:
/etc/origin/node/certificates/kubelet-server-current.pem","Without cryptographic integrity protections, information can be
altered by unauthorized users without detection.",medium,,,,,Kubernetes Kubelet Settings
CCE-80607-5,kubelet - Do Not Disable Streaming Timeouts,enable,via streaming-connection-idle-timeout,"Timouts for streaming connections should not be disabled as they help to prevent
denial-of-service attacks.
To configure streaming connection timeouts, edit the kubelet configuration
file /etc/origin/node/node-config.yaml
on the kubelet node(s) and set the below parameter:
kubeletArguments:
  streaming-connection-idle-timeout:
  - &#39;&#39;","Ensuring connections have timeouts helps to protect against denial-of-service attacks as
well as disconnect inactive connections. In addition, setting connections timeouts helps
to prevent from running out of ephemeral ports.",medium,,,,,Kubernetes Kubelet Settings
CCE-80606-7,kubelet - Enable Server Certificate Rotation,enable,via feature-gates,"To enable the kubelet to rotate server certificates, edit the kubelet configuration
file /etc/origin/node/node-config.yaml
on the kubelet node(s) and ensure RotateKubeletServerCertificate is included
in the feature-gates arguments:
kubeletArguments:
  feature-gates:
    - RotateKubeletClientCertificate=true,RotateKubeletServerCertificate=true","Allowing the kubelet to auto-update the certificates ensure that there is no downtime
in certificate renewal as well as ensures confidentiality and integrity.",medium,,,,,Kubernetes Kubelet Settings
CCE-80603-4,kubelet - Enable Client Certificate Rotation,enable,via feature-gates,"To enable the kubelet to rotate client certificates, edit the kubelet configuration
file /etc/origin/node/node-config.yaml
on the kubelet node(s) and set the below parameter:
kubeletArguments:
  feature-gates:
    - RotateKubeletClientCertificate=true","Allowing the kubelet to auto-update the certificates ensure that there is no downtime
in certificate renewal as well as ensures confidentiality and integrity.",medium,,,,,Kubernetes Kubelet Settings
CCE-80594-5,kubelet - Configure the Client CA Certificate,clientCA,via servingInfo,"By default, the kubelet is not configured with a CA certificate which
can subject the kubelet to man-in-the-middle attacks.

To configure a client CA certificate, edit the kubelet configuration
file /etc/origin/node/node-config.yaml
on the kubelet node(s) and set the below parameter:
servingInfo:
  clientCA: client-ca.crt","Not having a CA certificate for the kubelet will subject the kubelet to possible
man-in-the-middle attacks especially on unsafe or untrusted networks.
Certificate validation for the kubelet allows the API server to validate
the kubelet&#39;s identity.",medium,,,,,Kubernetes Kubelet Settings
CCE-80601-8,kubelet - Disable the Read-Only Port,disable,via read-only-port,"To disable the read-only port, edit the kubelet configuration
file /etc/origin/node/node-config.yaml
on the kubelet node(s) and set the below parameter:
kubeletArguments:
  read-only-port:
  - &#39;0&#39;","OpenShift disables the read-only port (10255) on all nodes by setting the
read-only port kubelet flag to 0. This ensures only
authenticated connections are able to receive information about the OpenShift
system.",medium,,,,,Kubernetes Kubelet Settings
