Unnamed: 0,Last modified: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Version: 5.20130214,,,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Old v4 CCE ID,Microsoft Office 2007 Threats and Countermeasures guide Beta release,Microsoft Office 2007 Recommendations (Security Settings for Office 2007 Applications.xlsx),NIST SCAP Microsoft Office 2007 OVAL (SCAP-Office2007-OVAL-Beta-v1.xml),NIST SCAP Microsoft Office 2007 XCCDF (SCAP-Office2007-XCCDF-Beta-v1.xml ),Microsoft Office 2007 DISA STIGs
CCE-116-4,"The ""Disable VBA for Office applications"" setting should be configured correctly.",(1) enabled/disabled,"(1) 2007: GPO Settings:Computer Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office 2007 System / Security Settings 
(2) Registry keys: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Office\12.0\Common\VbaOff 2003: 
(3) Computer Configuration\Administrative Templates\Microsoft Office 2003\Security Settings\Disable VBA for Office applications 
(4)  HKLM\Software\Policies\Microsoft\Office\11.0\Common - VbaOff 
(5)  User Configuration\Administrative Templates\Microsoft Office 2003\Security Settings\Disable VBA for Office applications 
(6)  HKCU\Software\Policies\Microsoft\Office\11.0\Common - VbaOff ",,CCE-116,"Table 1.124. Disable VBA for Office applications, Table 2.5. Disable VBA for Office applications","User Configuration\Administrative Templates\Microsoft Office 2007 system\Security Settings\Disable VBA for Office applications, Computer Configuration\Administrative Templates\Microsoft Office 2007 system (Machine)\Security Settings\Disable VBA for Office applications",oval:org.mitre.oval:def:771,DisableVBAForOfficeApplications,
CCE-908-4,"The ""ActiveX Control Initialization:"" setting should be configured correctly.",(1)  1 = Do not prompt | 4 = Prompt user to use control defaults | 6 = Prompt user to use persisted data,"(1) 2007: GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office 2007 system / Security /ActiveX Control InitializationSettings 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\Common\Security\UFIControls 2003: 
(3) User Configuration\Administrative Templates\Microsoft Office 2003\Security Settings\ActiveX Control Initialization 
(4)  HKCU\Software\Policies\Microsoft\Office\Common\Security - UFIControls ",,CCE-908,Table 1.3. ActiveX Control Initialization,User Configuration\Administrative Templates\Microsoft Office 2007 system\Security Settings\ActiveX Control Initialization (1 | 2 | 3 | 4 | 5 | 6),oval:org.mitre.oval:def:814,ActiveXControlInitialization,
CCE-184-2,"The ""Enable Customer Experience Improvement Program"" setting should be configured correctly.",(1) enabled/disabled,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office 2007 / Privacy / Trust Center , Registry Keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Common\QMEnable",,CCE-184,Table 1.148. Enable Customer Experience Improvement Program,User Configuration\Administrative Templates\Microsoft Office 2007 system\Privacy\Trust Center\Enable Customer Experience Improvement Program,oval:org.mitre.oval:def:829,EnableCustomerExperienceImprovementProgram,"STIG ID: DTOO184 - Office 2007 Rule ID: SV-18747r3_rule Vuln ID: V-17612: Disable the ""Enable Customer Experience Improvement Program"" for Office. "
CCE-276-6,"The ""Enable Customer Experience Improvement Program"" setting should be configured correctly.",(1) enabled/disabled,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office 2007 / Privacy / Trust Center 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Common\UpdateReliabilityData",,CCE-276,Table 1.23. Automatically receive small updates to improve reliability,User Configuration\Administrative Templates\Microsoft Office 2007 system\Privacy\Trust Center\Automatically receive small updates to improve reliability,oval:org.mitre.oval:def:1473,AutomaticallyReceiveSmallUpdatesToImproveReliability,STIG ID: DTOO185 - Office Rule ID: SV-18922r1_rule Vuln ID: V-17740: Disable Automatic receiving of small updates to improve reliability - Office. 
CCE-967-0,"The ""Online content options"" setting should be configured correctly.",(1)  0 = Never show online content or entry points | 1 = Search only offline content whenever available | 2 = Search online content whenever available,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office 2007 system / Tools / Options / General / Service Options / Online Content 
(2) Registry keys: HKEY_CURRENT_USER\Softtware\Polices\Microsoft\Office\12.0\Common\Internet\UseOnlineContent",,CCE-967,Table 1.179. Online content options,User Configuration\Administrative Templates\Microsoft Office 2007 system\Tools | Options | General | Service Options...\Online Content\Online content options (Never show online content or entry points | Search only offline content whenever available | Search online content whenever available),oval:org.mitre.oval:def:1302,OnlineContentOptions,
CCE-427-5,"The ""VBA Macro Warning Settings"" setting should be configured correctly for Access 2007.",(1)  1 = No Security checks for macros | 2 = Trust Bar warning for all macros | 3 = Trust Bar warning for digitally signed macros only | 4 = No Warnings for all macros but disable all macros,"(1) GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Access 2007 / Application Settings / Security / Trust Center 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Access\Security\VBAWarnings",,CCE-427,Table 1.234. VBA Macro Warning Settings,"User Configuration\Administrative Templates\Microsoft Office Access 2007\Application Settings\Security\Trust Center\VBA Macro Warning Settings (Trust Bar warning for all macros | Trust Bar warning for digitally signed macros only (unsigned macros will be disabled) | No Warnings for all macros but disable all macros | No Security checks for macros (Not recommended, code in all documents can run))",oval:org.mitre.oval:def:1403,VBAMacroWarningSettings-Access,STIG ID: DTOO304 - Access Rule ID: SV-18637r2_rule Vuln ID: V-17545: Enable Warning Bar settings for VBA macros contained in Access Files.
CCE-649-4,"The ""VBA Macro Warning Settings"" setting should be configured correctly for Excel 2007.",(1)  1 = No Security checks for macros | 2 = Trust Bar warning for all macros | 3 = Trust Bar warning for digitally signed macros only | 4 = No Warnings for all macros but disable all macros,"(1) 2007: GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Excel 2007 / Excel Options / Security / Trust Center 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Excel\Security\VBAWarnings",,CCE-649,Table 1.234. VBA Macro Warning Settings,"User Configuration\Administrative Templates\Microsoft Office Excel 2007\Excel Options\Security\Trust Center\VBA Macro Warning Settings (Trust Bar warning for all macros | Trust Bar warning for digitally signed macros only (unsigned macros will be disabled) | No Warnings for all macros but disable all macros | No Security checks for macros (Not recommended, code in all documents can run))",oval:org.mitre.oval:def:649,VBAMacroWarningSettings-Excel,STIG ID: DTOO304 - Excel Rule ID: SV-18638r2_rule Vuln ID: V-17545: Enable Warning Bar settings for VBA macros contained in Excel Files.
CCE-862-3,"The ""Trust access to Visual Basic Project"" setting should be configured correctly for Excel 2007 and 2003.",(1) enabled/disabled,"(1) 2007GPO Settings:User Configuration / Administrative Templates / Classic Administrative Templates / Microsoft Office Excel 2007 / Excel Options / Security / Trust Center 
(2) Registry keys: HKEY_CURRENT_USER\Software\Policies\Microsoft\Office\12.0\Excel\Security\AccessVBOM 2003:
(3) Computer Configuration\Administrative Templates\Microsoft Office 2003\Security Settings\Excel: Trust access to Visual Basic Project 
(4)  HKLM\Software\Policies\Microsoft\Office\11.0\Excel\Security - AccessVBOM 
(5)  User Configuration\Administrative Templates\Microsoft Office Excel 2003\Tools\Macros\Security\Trust access to Visual Basic Project 
(6)  HKCU\Software\Policies\Microsoft\Office\11.0\Excel\Security - AccessVBOM",,CCE-862,Table 1.225. Trust access to Visual Basic Project,User Configuration\Administrative Templates\Microsoft Office Excel 2007\Excel Options\Security\Trust Center\Trust access to Visual Basic Project,oval:org.mitre.oval:def:1560,TrustAccessToVisualBasicProject-Excel,
