Unnamed: 0,Last modified: 2009-04-30,Unnamed: 2,f,Unnamed: 4,Unnamed: 5
,Version: 5.20090506,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Internal Revenue Service Basic UNIX Security Requirements (IRS BUSR) http://www.irs.gov/irm/part10/ch03s08.html
CCE-5658-0,/export/home should be configured on an appropriate filesystem partition,partition,via fstab,,10.8.10.4.2.1 (5)
CCE-6235-6,/var should be configured on an appropriate filesystem partition,partition,via fstab,,10.8.10.4.2.1 (5)
CCE-6315-6,/opt should be configured on an appropriate filesystem partition,partition,via fstab,,10.8.10.4.2.1 (5)
CCE-5947-7,The shell for the root account should be located on the appropriate filesystem,filesystem,via /etc/passwd,,10.8.10.4.2.1 (6)
CCE-5546-7,Core dump size limits should be set appropriately,Size (0 to disable core dumps),"via /etc/security/limits
via ulimit",,10.8.10.4.4 (3)
CCE-6294-3,The read-only SNMP community string should be set appropriately.,string,"via /etc/snmp.conf
via /etc/snmp/snmpd.conf",,10.8.10.5.1 (1) c)
CCE-6136-6,The read/write SNMP community string should be set appropriately.,string,via /etc/snmp/snmpd.conf,,10.8.10.5.1 (1) c)
CCE-6105-1,Password policy should ban or allow usernames or UIDs in passwords as appropriate,ban/allow,via PAM,,10.8.10.5.1 (2) a)
CCE-6263-8,Password policy should ban or allow words found in a dictionary as appropriate.,ban/allow,via PAM,,10.8.10.5.1 (2) a)
CCE-6448-5,Password policy should enforce the correct amount of special characters,number of special characters,via PAM,,10.8.10.5.1 (2) a)
CCE-6417-0,Password policy should enforce or not enforce the requirement to have mixed case passwords as appropriate.,enforce/not enforce,via PAM,,10.8.10.5.1 (2) a)
CCE-6078-0,The minimum password age should be set as appropriate,number of days,via /etc/login.defs,,10.8.10.5.1 (2) b)
CCE-5906-3,The minimum required password length should be set as appropriate,number of characters,via /etc/login.defs,,10.8.10.5.1 (2) c)
CCE-6045-9,Password history should be saved for an appropriate number of password changes,number of password changes,via PAM,,10.8.10.5.1 (2) d)
CCE-5997-2,The number of consecutive failed login attempts required to trigger a lockout should be set as appropriate,number of consecutive failed login attempts,via PAM,,10.8.10.5.1 (2) e)
CCE-6358-6,Login access to accounts without passwords should be enabled or disabled as appropriate,enabled/disabled,"via passwd
via /etc/shadow",,10.8.10.5.1 (2) f)
CCE-6375-0,New users should be required or not required to change their password on first login as appropriate,required/not required,via /etc/security/passwd,,10.8.10.5.1 (2) g)
CCE-6080-6,Access to single-user mode (maintainence mode) should require the root password or not as appropriate,required/not required,via grub ,,10.8.10.5.1 (3)
CCE-6366-9,All files should be owned by an existing account or not as appropriate.,existing account required / existing account not required,via chown,,10.8.10.5.2 (3)
CCE-6441-0,All files should be owned by an existing group or not as appropriate.,existing group required / existing group not required,via chgrp via chown,,10.8.10.5.2 (3)
CCE-5644-0,The console login banner should be set appropriately.,banner text or null,via /etc/motd,,10.8.10.5.2 (5) a)
CCE-5784-4,The SSH login banner should be set appropriately.,banner text or null,"via /etc/ssh/sshd_config
via /etc/motd",,10.8.10.5.2 (5) b)
CCE-6502-9,The telnet login banner should be set appropriately.,banner text or null,via /etc/motd,,10.8.10.5.2 (5) c)
CCE-6440-2,The ftp login banner should be set appropriately.,banner text or null,,,10.8.10.5.2 (5) d)
CCE-6286-9,The graphical login banner should be set appropriately.,banner text or null,via Xwindows,,10.8.10.5.2 (5) e)
CCE-6472-5,Accounts other than root should be allowed to have the UID 0 or not as appropriate,allowed/not allowed,"via passwd
via /etc/passwd",,10.8.10.5.2.1 (2) a)
CCE-6387-5,Accounts other than root and locked system accounts should be allowed to have a GID of 0 or not as appropriate,allowed/not allowed,"via passwd
via /etc/passwd",,10.8.10.5.2.1 (2) b)
CCE-6224-0,Each account should be assigned a unique UID or not as appropriate,unique/not unique,via /etc/passwd,,10.8.10.5.2.4 (3)
CCE-6515-1,The ftp account should exist or not as appropriate,exist/not exist,via /etc/passwd,,10.8.10.5.2.4 (9)
CCE-6343-8,Login accounts should include an appropriate GECOS identifier or no GECOS identifier,"GECOS value, null",via /etc/passwd,,10.8.10.5.2.4.1 (1)
CCE-5527-7,The screen lock should activate after an appropriate period of inactivity,number of minutes,"via xscreensaver
via dtsession
via /etc/pam.d/xscreensaver",,10.8.10.5.2.5 (1)
CCE-5855-2,File permissions should be set appropriately for all shell executables.,permissions,via chmod,,10.8.10.5.2.6 (1)
CCE-6058-2,Remote (serial) consoles should be enabled or disabled as appropriate.,enabled/disabled,"via inittab
via /sbin/agetty",,10.8.10.5.2.6 (3)
CCE-8432-7,Root logins should be restricted to the console or not as appropriate.,restricted/not restricted,via /etc/securetty,,10.8.10.5.2.6 (4)
CCE-6430-3,.netrc files should exist or not as appropriate for all users.,exist/not exist,via filesystem,,10.8.10.5.2.6 (6)
CCE-6522-7,.rhosts files should exist or not as appropriate for all users.,exist/not exist,via filesystem,,10.8.10.5.2.6 (6)
