CCE ID v5,CCE Title,USGCB Setting,Technical Mechanism,Configuration Details,Rationale,Impact,800-53 Mapping,National Information Assurance Partnership Operating System Protection Profile,Center for Internet Security,Defense Information Systems Agency Security Security Requirements Guide,Configuration Group
CCE-80206-6,Disable debug-shell SystemD Service,disable,via systemctl,"SystemD&#39;s debug-shell service is intended to
diagnose SystemD related boot issues with various systemctl
commands. Once enabled and following a system reboot, the root shell
will be available on tty9 which is access by pressing
CTRL-ALT-F9. The debug-shell service should only be used
for SystemD related issues and should otherwise be disabled.

By default, the debug-shell SystemD service is already disabled.

The debug-shell service can be disabled with the following command:
$ sudo systemctl disable debug-shell.service
The debug-shell service can be masked with the following command:
$ sudo systemctl mask debug-shell.service","This prevents attackers with physical access from trivially bypassing security
on the machine through valid troubleshooting configurations and gaining root
access when the system is rebooted.",medium,,FIA_UAU.1,,SRG-OS-000324-GPOS-00125,Protect Physical Console Access
CCE-27287-2,Require Authentication for Single User Mode,verify,via systemctl,"Single-user mode is intended as a system recovery
method, providing a single user root access to the system by
providing a boot option at startup. By default, no authentication
is performed if single-user mode is selected.


By default, single-user mode is protected by requiring a password and is set
in /usr/lib/systemd/system/rescue.service.","This prevents attackers with physical access from trivially bypassing security
on the machine and gaining root access. Such accesses are further prevented
by configuring the bootloader password.",medium,"AC-3,CM-6(a),IA-2",FIA_UAU.1,1.4.3,SRG-OS-000080-GPOS-00048,Protect Physical Console Access
CCE-27511-5,Disable Ctrl-Alt-Del Reboot Activation,disable,via systemctl,"
By default, SystemD will reboot the system if the Ctrl-Alt-Del
key sequence is pressed.

To configure the system to ignore the Ctrl-Alt-Del key sequence from the
command line instead of rebooting the system, do either of the following:
ln -sf /dev/null /etc/systemd/system/ctrl-alt-del.target
or
systemctl mask ctrl-alt-del.target

Do not simply delete the /usr/lib/systemd/system/ctrl-alt-del.service file,
as this file may be restored during future system updates.","A locally logged-in user who presses Ctrl-Alt-Del, when at the console,
can reboot the system. If accidentally pressed, as could happen in
the case of mixed OS environment, this can create the risk of short-term
loss of availability of systems due to unintentional reboot.",high,"AC-6(1),CM-6(a)",,,"SRG-OS-000324-GPOS-00125,SRG-OS-000480-GPOS-00227",Protect Physical Console Access
CCE-82185-0,Require Authentication for Emergency Systemd Target,verify,via systemctl,"Emergency mode is intended as a system recovery
method, providing a single user root access to the system
during a failed boot sequence.

By default, Emergency mode is protected by requiring a password and is set
in /usr/lib/systemd/system/emergency.service.","This prevents attackers with physical access from trivially bypassing security
on the machine and gaining root access. Such accesses are further prevented
by configuring the bootloader password.",medium,"AC-3,CM-6(a),IA-2",FIA_UAU.1,1.4.3,SRG-OS-000080-GPOS-00048,Protect Physical Console Access
CCE-27335-9,Verify that Interactive Boot is Disabled,disable,via grub,"Red Hat Enterprise Linux 7 systems support an &#34;interactive boot&#34; option that can
be used to prevent services from being started. On a Red Hat Enterprise Linux 7
system, interactive boot can be enabled by providing a 1,
yes, true, or on value to the
systemd.confirm_spawn kernel argument in /etc/default/grub.
Remove any instance of systemd.confirm_spawn=(1|yes|true|on) from
the kernel arguments in that file to disable interactive boot. It is also
required to change the runtime configuration, run:
/sbin/grubby --update-kernel=ALL --remove-args=&#34;systemd.confirm_spawn&#34;","Using interactive boot, the console user could disable auditing, firewalls,
or other services, weakening system security.",medium,"CM-6(a),SC-2(1)",FIA_UAU.1,,SRG-OS-000480-GPOS-00227,Protect Physical Console Access
CCE-80449-2,Disable Ctrl-Alt-Del Burst Action,CtrlAltDelBurstAction=none,via /etc/systemd/system.conf,"By default, SystemD will reboot the system if the Ctrl-Alt-Del
key sequence is pressed Ctrl-Alt-Delete more than 7 times in 2 seconds.

To configure the system to ignore the CtrlAltDelBurstAction
setting, add or modify the following to /etc/systemd/system.conf:
CtrlAltDelBurstAction=none","A locally logged-in user who presses Ctrl-Alt-Del, when at the console,
can reboot the system. If accidentally pressed, as could happen in
the case of mixed OS environment, this can create the risk of short-term
loss of availability of systems due to unintentional reboot.",high,"AC-6(1),CM-6(a),CM-6(a)",,,SRG-OS-000324-GPOS-00125,Protect Physical Console Access
CCE-80568-9,Install the opensc Package For Multifactor Authentication,install,via yum,"The opensc package can be installed with the following command:

$ sudo yum install opensc","Using an authentication device, such as a CAC or token that is separate from
the information system, ensures that even if the information system is
compromised, that compromise will not affect credentials stored on the
authentication device.

Multifactor solutions that require devices separate from
information systems gaining access include, for example, hardware tokens
providing time-based or challenge-response authenticators and smart cards such
as the U.S. Government Personal Identity Verification card and the DoD Common
Access Card.",medium,CM-6(a),,,SRG-OS-000375-GPOS-00160,Hardware Tokens for Authentication
CCE-82347-6,Install the pcsc-lite package,install,via yum,"The pcsc-lite package can be installed with the following command:

$ sudo yum install pcsc-lite","The pcsc-lite package must be installed if it is to be available for
multifactor authentication using smartcards.",medium,CM-6(a),,,SRG-OS-000375-GPOS-00160,Hardware Tokens for Authentication
CCE-80569-7,Enable the pcscd Service,enable,via systemctl,"
The pcscd service can be enabled with the following command:
$ sudo systemctl enable pcscd.service","Using an authentication device, such as a CAC or token that is separate from
the information system, ensures that even if the information system is
compromised, that compromise will not affect credentials stored on the
authentication device.

Multifactor solutions that require devices separate from
information systems gaining access include, for example, hardware tokens
providing time-based or challenge-response authenticators and smart cards such
as the U.S. Government Personal Identity Verification card and the DoD Common
Access Card.",medium,"CM-6(a),IA-2(1),IA-2(11),IA-2(2),IA-2(3),IA-2(4),IA-2(6),IA-2(7)",,,SRG-OS-000375-GPOS-00160,Hardware Tokens for Authentication
CCE-80567-1,Configure NSS DB To Use opensc,opensc,via pkcs11-switch,"The opensc module should be configured for use over the
Coolkey PKCS#11 module in the NSS database. To configure the
NSS database ot use the opensc module, run the following
command:
$ sudo pkcs11-switch opensc","Smart card login provides two-factor authentication stronger than
that provided by a username and password combination. Smart cards leverage PKI
(public key infrastructure) in order to provide and verify credentials.",medium,"CM-6(a),IA-2(1),IA-2(11),IA-2(2),IA-2(3),IA-2(4),IA-2(6),IA-2(7)",,,"SRG-OS-000104-GPOS-00051,SRG-OS-000106-GPOS-00053,SRG-OS-000107-GPOS-00054,SRG-OS-000108-GPOS-00055,SRG-OS-000108-GPOS-00057,SRG-OS-000108-GPOS-00058,SRG-OS-000109-GPOS-00056",Hardware Tokens for Authentication
CCE-80519-2,Install Smart Card Packages For Multifactor Authentication,install,via yum,"Configure the operating system to implement multifactor authentication by
installing the required packages with the following command:
The esc pam_pkcs11 package can be installed with the following command:

$ sudo yum install esc pam_pkcs11","Using an authentication device, such as a CAC or token that is separate from
the information system, ensures that even if the information system is
compromised, that compromise will not affect credentials stored on the
authentication device.

Multifactor solutions that require devices separate from
information systems gaining access include, for example, hardware tokens
providing time-based or challenge-response authenticators and smart cards such
as the U.S. Government Personal Identity Verification card and the DoD Common
Access Card.",medium,CM-6(a),,,"SRG-OS-000105-GPOS-00052,SRG-OS-000375-GPOS-00160,SRG-OS-000375-GPOS-00161,SRG-OS-000377-GPOS-00162",Hardware Tokens for Authentication
