Unnamed: 0,Last modified: 2009-06-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Version: 5.20100428,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,CIS Solaris 10 Benchmark v4.0,"Old ""Unix-CCE-DRAFT-2"" ID"
CCE-4508-8,The tooltalk service should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.2.1,Value:disabled",
CCE-4327-3,The calendar manager should be enabled or disabled as appropriate.,enabled / disabled / offline,via svcadm,,"Section: 2.2.2,Value:disabled",
CCE-4468-5,The GNOME logon service should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.2.3,Value:disabled",CCE-U-120
CCE-4512-0,The CDE logon service should be enabled or disabled as appropriate.,enabled / disabled / offline,via svcadm,,"Section: 2.2.3,Value:disabled",CCE-U-120
CCE-4375-2,The sendmail services should be enabled or disabled as appropriate.,enabled / disabled / offline,via svcadm,,"Section: 2.2.4,Value:disabled",
CCE-4393-5,The web console should be enabled or disabled as appropriate.,enabled / disabled / offline,via svcadm,,"Section: 2.2.5,Value:disabled",
CCE-3662-4,The WBEM services should be enabled or disabled as appropriate.,enabled / disabled / offline,via svcadm,,"Section: 2.2.6,Value:disabled",
CCE-4442-0,The BSD line printer protocol should be enabled or disabled as appropriate.,enabled / disabled / offline,via svcadm,,"Section: 2.2.7,Value:disabled",
CCE-4596-3,The keyserv service should be enabled or disabled as appropriate.,enabled / disabled / offline,via svcadm,,"Section: 2.3.1,Value:disabled",CCE-U-203
CCE-4486-7,The NIS server daemon should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.2,Value:disabled",
CCE-4362-0,The NIS passwd daemon should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.2,Value:disabled",
CCE-3622-8,The NIS update daemon should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.2,Value:disabled",
CCE-4299-4,The NIS xfr daemon should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.2,Value:disabled",
CCE-4592-2,The NIS client daemons should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.3,Value:disabled",
CCE-4614-4,The nisplus daemons should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.4,Value:disabled",
CCE-4279-6,The ldap cache manager should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.5,Value:disabled",
CCE-4557-5,The Kerberos TGT Expiration warning should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.6,Value:disabled",
CCE-4588-0,The Generic Security Service daemons should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.7,Value:disabled",
CCE-4354-7,The volfs service should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.8,Value:disabled",
CCE-4240-8,The smserver service should be enabled or disabled as appropriate,enabled / disabled / offline,via svcadm,,"Section: 2.3.8,Value:disabled",
CCE-4517-9,The Samba smbd service should be enabled or disabled as approriate,enabled / disabled / offline,"Solaris 10 <= 11/06 /etc/init.d/samba stop, mv /etc/sfw/smb.conf /etc/sfw/smb.conf.CIS
Solaris 10 >= 8/07 via svcadm",,"Section: 2.3.9,Value:disabled",CCE-U-142
