Unnamed: 0,Last modified: 2009-04-30,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Version: 5.20090506,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Internal Revenue Service Basic UNIX Security Requirements (IRS BUSR) http://www.irs.gov/irm/part10/ch03s08.html
CCE-7173-8,/export/home should be configured on an appropriate filesystem partition,partition,via fstab,,10.8.10.4.2.1 (5)
CCE-6194-5,/var should be configured on an appropriate filesystem partition,partition,via fstab,,10.8.10.4.2.1 (5)
CCE-6995-5,/opt should be configured on an appropriate filesystem partition,partition,via fstab,,10.8.10.4.2.1 (5)
CCE-6632-4,The shell for the root account should be located on the appropriate filesystem,filesystem,via /etc/passwd,,10.8.10.4.2.1 (6)
CCE-6196-0,Core dump size limits should be set appropriately,Size (0 to disable core dumps),"via /etc/security/limits
via ulimit",,10.8.10.4.4 (3)
CCE-6981-5,The read-only SNMP community string should be set appropriately.,string,via /etc/snmp/conf/snmpd.conf,,10.8.10.5.1 (1) c)
CCE-6951-8,The read/write SNMP community string should be set appropriately.,string,via /etc/snmp/conf/snmpd.conf,,10.8.10.5.1 (1) c)
CCE-7167-0,DEPRECATED.,,,,
CCE-6919-5,Password policy should ban or allow words found in a dictionary as appropriate.,ban/allow,via /etc/default/passwd,,10.8.10.5.1 (2) a)
CCE-6198-6,Password policy should enforce the correct amount of special characters,number of special characters,via /etc/default/passwd,,10.8.10.5.1 (2) a)
CCE-7049-0,Password policy should enforce or not enforce the requirement to have mixed case passwords as appropriate.,enforce/not enforce,via /etc/default/passwd,,10.8.10.5.1 (2) a)
CCE-7146-4,The minimum password age should be set as appropriate,number of days,via /etc/default/passwd,,10.8.10.5.1 (2) b)
CCE-7080-5,The minimum required password length should be set as appropriate,number of characters,via /etc/default/passwd,,10.8.10.5.1 (2) c)
CCE-7086-2,Password history should be saved for an appropriate number of password changes,number of password changes,via /etc/default/passwd,,10.8.10.5.1 (2) d)
CCE-6434-5,The number of consecutive failed login attempts required to trigger a lockout should be set as appropriate,number of consecutive failed login attempts,via /etc/default/passwd,,10.8.10.5.1 (2) e)
CCE-7196-9,Login access to accounts without passwords should be enabled or disabled as appropriate,enabled/disabled,"via passwd
via /etc/shadow",,10.8.10.5.1 (2) f)
CCE-7024-3,New users should be required or not required to change their password on first login as appropriate,required/not required,via /etc/security/passwd,,10.8.10.5.1 (2) g)
CCE-7104-3,Access to single-user mode (maintainence mode) should require the root password or not as appropriate,required/not required,,,10.8.10.5.1 (3)
CCE-7028-4,The delay between failed logins should be set as appropriate,number of seconds,,,10.8.10.5.1 (5)
CCE-7108-4,All files should be owned by an existing account or not as appropriate.,existing account required / existing account not required,via chown,,10.8.10.5.2 (3)
CCE-6323-0,All files should be owned by an existing group or not as appropriate.,existing group required / existing group not required,"via chgrp
via chown",,10.8.10.5.2 (3)
CCE-6218-2,The console login banner should be set appropriately.,banner text or null,"via /etc/security/login.cfg
via /etc/motd",,10.8.10.5.2 (5) a)
CCE-7066-4,The SSH login banner should be set appropriately.,banner text or null,via sshd_config,,10.8.10.5.2 (5) b)
CCE-6903-9,The telnet login banner should be set appropriately.,banner text or null,via /etc/default/telnetd,,10.8.10.5.2 (5) c)
CCE-6837-9,The ftp login banner should be set appropriately.,banner text or null,,,10.8.10.5.2 (5) d)
CCE-6683-7,The graphical login banner should be set appropriately.,banner text or null,via Xwindows,,10.8.10.5.2 (5) e)
CCE-6841-1,Accounts other than root should be allowed to have the UID 0 or not as appropriate,allowed/not allowed,"via passwd
via /etc/passwd",,10.8.10.5.2.1 (2) a)
CCE-7185-2,Accounts other than root and locked system accounts should be allowed to have a GID of 0 or not as appropriate,allowed/not allowed,"via passwd
via /etc/passwd
via /etc/group",,10.8.10.5.2.1 (2) b)
CCE-6255-4,Each account should be assigned a unique UID or not as appropriate,unique/not unique,via /etc/passwd,,10.8.10.5.2.4 (3)
CCE-6688-6,The ftp account should exist or not as appropriate,exist/not exist,via /etc/passwd,,10.8.10.5.2.4 (9)
CCE-7164-7,Login accounts should include an appropriate GECOS identifier or no GECOS identifier,"GECOS value, null",via /etc/passwd,,10.8.10.5.2.4.1 (1)
CCE-6926-0,The screen lock should activate after an appropriate period of inactivity,number of minutes,"via Xscreensaver
via dtsession",,10.8.10.5.2.5 (1)
CCE-6895-7,File permissions should be set appropriately for all shell executables.,permissions,via chmod,,10.8.10.5.2.6 (1)
CCE-7245-4,Remote (serial) consoles should be enabled or disabled as appropriate.,enabled/disabled,via BIOS,,10.8.10.5.2.6 (3)
CCE-7232-2,Root logins should be restricted to the console or not as appropriate.,restricted/not restricted,via /etc/default/login,,10.8.10.5.2.6 (4)
CCE-6311-5,.netrc files should exist or not as appropriate for all users.,exist/not exist,via filesystem,,10.8.10.5.2.6 (6)
CCE-6976-5,.rhosts files should exist or not as appropriate for all users.,exist/not exist,via filesystem,,10.8.10.5.2.6 (6)
