Unnamed: 0,Last modfied: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Version: 5.20130214,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,"DISA STIG
Web Server
Version 7 Release: 1 Benchmark Date: 20 Sept 2010","Apache Software Foundation
Apache Tomcat 4 Documentation","APPLICATION SERVICES SECURITY CHECKLIST
Version 1, Release 1.1
31 July 2006
Section 3A
App_sService_Checklist_Sec3A_V1R1-1.doc"
CCE-26926-6,The CGI scripts for Apache Tomcat should be installed in designated folders,(1) path to CGI scripts,(1) file system,,"Rule Title: All interactive programs will be placed in a designated directory with appropriate permissions.
STIG ID: WG400  Rule ID: SV-2228r4_rule  Vuln ID: V-2228
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,
CCE-27734-3,Access to Apache Tomcat's interactive scripts should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability","(1) defined by (ServerRoot)\(cgiPathPrefix)/*'s DACL 
where cgiPathPrefix is defined in $CATALINA_BASE/conf/web.xml",,"Rule Title: Interactive scripts used on a web server will have proper access controls.
STIG ID: WG410  Rule ID: SV-2229r5_rule  Vuln ID: V-2229
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,
CCE-27625-3,Tomcat Apache's backup CGI *.bak files should exist or not as appropriate,(1) exist/not exist,(1) ServerRoot)\(cgiPathPrefix)/*.bak,,"Rule Title: Backup interactive scripts on the production web server are prohibited.
STIG ID: WG420  Rule ID: SV-2230r8_rule  Vuln ID: V-2230
Severity: CAT III  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,
CCE-27691-5,Tomcat Apache's backup CGI *.old files should exist or not as appropriate,(1) exist/not exist,(1) ServerRoot)\(cgiPathPrefix)/*.old,,"Rule Title: Backup interactive scripts on the production web server are prohibited.
STIG ID: WG420  Rule ID: SV-2230r8_rule  Vuln ID: V-2230
Severity: CAT III  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,
CCE-27562-8,Tomcat Apache's backup CGI *.temp files should exist or not as appropriate,(1) exist/not exist,(1) ServerRoot)\(cgiPathPrefix)/*.temp,,"Rule Title: Backup interactive scripts on the production web server are prohibited.
STIG ID: WG420  Rule ID: SV-2230r8_rule  Vuln ID: V-2230
Severity: CAT III  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,
CCE-27513-1,Tomcat Apache's backup CGI *.tmp files should exist or not as appropriate,(1) exist/not exist,(1) ServerRoot)\(cgiPathPrefix)/*.tmp,,"Rule Title: Backup interactive scripts on the production web server are prohibited.
STIG ID: WG420  Rule ID: SV-2230r8_rule  Vuln ID: V-2230
Severity: CAT III  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,
CCE-27669-1,Tomcat Apache's backup CGI *.backup files should exist or not as appropriate,(1) exist/not exist,(1) ServerRoot)\(cgiPathPrefix)/*.backup,,"Rule Title: Backup interactive scripts on the production web server are prohibited.
STIG ID: WG420  Rule ID: SV-2230r8_rule  Vuln ID: V-2230
Severity: CAT III  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,
CCE-27266-6,"Tomcat Apache's backup CGI ""copy of*.*"" files should exist or not as appropriate",(1) exist/not exist,(1) ServerRoot)\(cgiPathPrefix)/copy of*.*,,"Rule Title: Backup interactive scripts on the production web server are prohibited.
STIG ID: WG420  Rule ID: SV-2230r8_rule  Vuln ID: V-2230
Severity: CAT III  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,
CCE-27675-8,The maximum password age setting for Tomcat's service account should be configured appropriately.,(1) number of days,(1) defined by Local or Group Policy,,"Rule Title: The service account ID used to run the web site will have its password changed at least annually.
STIG ID: WG060  Rule ID: SV-2235r4_rule  Vuln ID:V-2235
Severity: CAT II  Class: Unclass",,"SDID: ASG0520 Category: II  VULID: V0006211
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECLP-1
SDID Description: The application server process runs with privileges not necessary for proper operation.
Reference: Application Services STIG, Appendix B.3.5
"
CCE-27171-8,"The Apache Tomcat ""maxProcessors"" attribute should be configured appropriately.",(1) Number value,(1) Apache Tomcat configuration file:maxProcessors attribute,,"Rule Title: The number of allowed simultaneous requests will be limited for web sites.
STIG ID: WG110  Rule ID: SV-2240r6_rule  Vuln ID:V-2240
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/config/coyote.html,
CCE-27535-4,All readable Tomcat Apache web document directories should have their default webpage configured appropriately. ,(1) exist / not exist,(1) Directories (from Apache Tomcat web.xml configuration file: docBase),,"Rule Title: Each readable web document directory will contain either default, home, index, or equivalent file.
STIG ID: WG170  Rule ID: SV-2245r6_rule  Vuln ID:V-2245
Severity: CAT III  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/config/context.html,
CCE-27573-5,The access log valve for the Apache Tomcat's Engine container should be enabled or disabled as appropriate.,(1) enabled / disabled,(1) Logger element defined in Apache Tomcat configuration file: $CATALINA_HOME/conf/server.xml # Engine container,,"Rule Title: Logs of web server access and errors will be established and maintained
STIG ID: WG240  Rule ID: SV-2250r6_rule  Vuln ID:V-2250
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/config/valve.html#Access%20Log%20Valve,"SDID: APS0410 Category: II VULID: V0006209
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECAR-1, ECAR-2, ECAR-3
SDID Description: Application server does not adequately log security related events.
Reference: Application Services STIG, Section 3.4.3
"
CCE-27712-9,The access log valve for the Apache Tomcat's Host container should be enabled or disabled as appropriate.,(1) enabled / disabled,(1) Logger element defined in Apache Tomcat configuration file: $CATALINA_HOME/conf/server.xml # Host container,,"Rule Title: Logs of web server access and errors will be established and maintained
STIG ID: WG240  Rule ID: SV-2250r6_rule  Vuln ID:V-2250
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/config/valve.html#Access%20Log%20Valve,"SDID: APS0410 Category: II VULID: V0006209
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECAR-1, ECAR-2, ECAR-3
SDID Description: Application server does not adequately log security related events.
Reference: Application Services STIG, Section 3.4.3
"
CCE-27483-7,The access log valve for the Apache Tomcat's Context container should be enabled or disabled as appropriate.,(1) enabled / disabled,(1) Logger element defined in Apache Tomcat configuration file: $CATALINA_HOME/conf/server.xml # Context container,,"Rule Title: Logs of web server access and errors will be established and maintained
STIG ID: WG240  Rule ID: SV-2250r6_rule  Vuln ID:V-2250
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/config/valve.html#Access%20Log%20Valve,"SDID: APS0410 Category: II VULID: V0006209
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECAR-1, ECAR-2, ECAR-3
SDID Description: Application server does not adequately log security related events.
Reference: Application Services STIG, Section 3.4.3
"
CCE-26804-5,The permissions for all files located in the folder specified by the Logger component (server.xml) should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) Logger element defined in Apache Tomcat configuration file: $CATALINA_HOME/conf/server.xml,,"Rule Title: Only auditors, SAs or web administrators may access web server log files.
STIG ID: WG250  Rule ID: SV-2252r4_rule  Vuln ID:V-2252
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/config/logger.html,
CCE-27728-5,The permissions for \cgi-bin directory should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: The web client account access to the content and scripts directories will be limited to read and execute.
STIG ID: WG290  Rule ID: SV-2258r5_rule  Vuln ID:V-2258
Severity: CAT I  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/cgi-howto.html,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-27735-0,The permissions for \webapps directory should be configured appropriately.,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: The web client account access to the content and scripts directories will be limited to read and execute.
STIG ID: WG290  Rule ID: SV-2258r5_rule  Vuln ID:V-2258
Severity: CAT I  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-27248-4,The permissions of Apache Tomcat's installation directory should be configred appropriately,"(1) set of accounts
(2) list of permissions _x000D_
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: Web server system files will conform to minimum file permission requirements.
STIG ID: WG300  Rule ID: SV-2259r7_rule  Vuln ID:V-2259
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-27649-3,The permissions of Apache Tomcat's /bin directory should be configred appropriately,"(1) set of accounts
(2) list of permissions _x000D_
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: Web server system files will conform to minimum file permission requirements.
STIG ID: WG300  Rule ID: SV-2259r7_rule  Vuln ID:V-2259
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-26996-9,The permissions of Apache Tomcat's /common directory should be configred appropriately,"(1) set of accounts
(2) list of permissions _x000D_
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: Web server system files will conform to minimum file permission requirements.
STIG ID: WG300  Rule ID: SV-2259r7_rule  Vuln ID:V-2259
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-27621-2,The permissions of Apache Tomcat's /conf directory should be configred appropriately,"(1) set of accounts
(2) list of permissions _x000D_
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: Web server system files will conform to minimum file permission requirements.
STIG ID: WG300  Rule ID: SV-2259r7_rule  Vuln ID:V-2259
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-27683-2,The permissions of Apache Tomcat's /logs directory should be configred appropriately,"(1) set of accounts
(2) list of permissions _x000D_
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: Web server system files will conform to minimum file permission requirements.
STIG ID: WG300  Rule ID: SV-2259r7_rule  Vuln ID:V-2259
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-27698-0,The permissions of Apache Tomcat's /server directory should be configred appropriately,"(1) set of accounts
(2) list of permissions _x000D_
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: Web server system files will conform to minimum file permission requirements.
STIG ID: WG300  Rule ID: SV-2259r7_rule  Vuln ID:V-2259
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-27587-5,The permissions of Apache Tomcat's /shared directory should be configred appropriately,"(1) set of accounts
(2) list of permissions _x000D_
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: Web server system files will conform to minimum file permission requirements.
STIG ID: WG300  Rule ID: SV-2259r7_rule  Vuln ID:V-2259
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
CCE-27569-3,The permissions of Apache Tomcat's /webapps directory should be configred appropriately,"(1) set of accounts
(2) list of permissions _x000D_
(3) applicability",(1) defined by the object's DACL  ,,"Rule Title: Web server system files will conform to minimum file permission requirements.
STIG ID: WG300  Rule ID: SV-2259r7_rule  Vuln ID:V-2259
Severity: CAT II  Class: Unclass",http://tomcat.apache.org/tomcat-4.1-doc/README.txt,"SDID: AST0340 Category: II VULID:  V0006207
MAC/Confidentiality Levels: MAC I – CSP,  MAC II – CSP,  MAC III – CSP
IA Controls: ECCR-1, ECCR-2
SDID Description: OS level file permissions are not adequately restrictive.
Reference: Application Services STIG, Appendix B.2
"
