Unnamed: 0,Last modfied: 2013-02-11,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Version: 5.20130214,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,"CIS
Security Configuration Benchmark For Apache Tomcat 5.5/6.0
Version 1.0.0
December 12th, 2009","Apache Software Foundation
Apache Tomcat 6 Documentation","Apache Software Foundation
Apache Tomcat 4 Documentation","Tomcat
The Definitive Guide
Ch 6 Tomcat Security
http://oreilly.com/catalog/tomcat/chapter/ch06.pdf"
CCE-26789-8,The Java Security Manager (JSM) should be enabled or disabled as appropriate.,(1) exist/not exist,"(1) 
catalina.policy file under Catalina Home",,"1.11.1 Starting Tomcat with Security Manager (Level 1, Scorable)",,,
CCE-27451-4,Tomcat should be configured to run with or without the Java Security Manager upon startup.,(1) exist/not exist,"(1) 
'-security' command-line parameter on Tomcat startup
-Djava.security.manager command line parameter",,"1.11.1 Starting Tomcat with Security Manager (Level 1, Scorable)",,,
CCE-27480-3,The Tomcat server port number should be set correctly.,(1) port number,"(1) 
'<Server Port = <port number> >' element in server.xml",,,"Apache Tomcat Configuration Reference
The Server Component
Common Attributes
http://tomcat.apache.org/tomcat-6.0-doc/config/server.html",,
CCE-27418-3,The Tomcat Legacy JK AJP 1.3 connector should be enabled or disabled as appropriate.,(1) exist/not exist,"(1) 
'<Connector protocolHandlerClassName=""org.apache.ajp.tomcat4.Ajp13Connector"">' element in server.xml",,,,"Apache Tomcat 4
Connectors Overview
Tomcat connectors
Web Server Connectors Table
http://tomcat.apache.org/tomcat-4.1-doc/config/connectors.html",
CCE-27155-1,The Tomcat Legacy JK AJP 1.3  connectors should listen on the specified ports.,(1) port number,"(1) 
'port' attribute inside
'<Connector protocolHandlerClassName=""org.apache.ajp.tomcat4.Ajp13Connector"">' element in server.xml",,,,"Apache Tomcat 4
Connectors Overview
Tomcat connectors
Web Server Connectors Table
http://tomcat.apache.org/tomcat-4.1-doc/config/connectors.html",
CCE-27255-9,The Tomcat Legacy HTTP/1.1 connector should be enabled or disabled as appropriate.,(1) exist/not exist,"(1) 
'<Connector protocolHandlerClassName=""org.apache.catalina.connector.http.HttpConnector"">' element in server.xml",,,,"Apache Tomcat 4
Connectors Overview
Tomcat connectors
HTTP Connectors for Tomcat 4.x Table
http://tomcat.apache.org/tomcat-4.1-doc/config/connectors.html",
CCE-27617-0,The Tomcat Legacy HTTP/1.1 connectors should listen on the specified ports.,(1) port number,"(1) 
'port' attribute inside
'<Connector protocolHandlerClassName=""org.apache.catalina.connector.http.HttpConnector"">' element in server.xml",,,,"Apache Tomcat 4
Connectors Overview
Tomcat connectors
HTTP Connectors for Tomcat 4.x Table
http://tomcat.apache.org/tomcat-4.1-doc/config/connectors.html",
CCE-26722-9,The Tomcat login authentication method should be set correctly.,(1) BASIC/FORM/DIGEST/CLIENT_CERT,(1) Value of '<auth-method>' element in web.xml,,,,,Client Certificates pg 171
