Unnamed: 0,Last modified: 2012-03-13,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Version: 5.20120314,,,,,,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Old v4 CCE ID,NIST SCAP Windows Vista XCCDF (SCAP-WinVista-XCCDF.xml rev 2007-02-06),NIST SCAP Windows Vista OVAL (SCAP-WinVista-OVAL.xml rev 2007-02-06),FDCC Windows Vista XCCDF (fdcc-accepted-content-20080110\fdcc-winvista-xccdf.xml),FDCC Windows Vista OVAL (fdcc-accepted-content-20080110\fdcc-winvista-oval.xml),FDCC Windows Vista Firewall XCCDF (fdcc-accepted-content-20080110\fdcc-vistafirewall-xccdf.xml),FDCC Windows Vista Firewall OVAL (fdcc-accepted-content-20080110\fdcc-vistafirewall-oval.xml),USGCB XCCDF (USGCB-Windows-Vista-xccdf),USGCB OVAL (USGCB-Windows-Vista-oval)
CCE-2715-1,"The ""reset account lockout counter after"" policy should meet minimum requirements.  ",(1) number of minutes,(1) defined by Local or Group Policy  ,,CCE-733,reset-account-lockout-counter,oval:com.secure-elements.oval:def:6009,account_lockout_reset_counter,oval:gov.nist.fdcc.vista:def:6009,,,,
CCE-2363-0,"The ""account lockout duration"" policy should meet minimum requirements.  ",(1) number of minutes,(1) defined by Local or Group Policy  ,,CCE-980,account-lockout-duration,oval:com.secure-elements.oval:def:6007,account_lockout_duration,oval:gov.nist.fdcc.vista:def:6007,,,,
CCE-3177-3,"The ""account lockout threshold"" policy should meet minimum requirements.  ",(1) number of attempts,(1) defined by Local or Group Policy  ,,CCE-658,account-lockout-threshold,oval:com.secure-elements.oval:def:6008,account_lockout_threshold,oval:gov.nist.fdcc.vista:def:6008,,,,
CCE-2820-9,"Auditing of ""account logon"" events on success should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-2628,audit-account-logon-events,oval:com.secure-elements.oval:def:6010,audit_account_logon_events,oval:gov.nist.fdcc.vista:def:27,,,,
CCE-3089-0,"Auditing of ""account logon"" events on failure should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-2543,audit-account-logon-events,oval:com.secure-elements.oval:def:6010,audit_account_logon_events,oval:gov.nist.fdcc.vista:def:27,,,,
CCE-3234-2,"Auditing of ""account management"" events on success should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-2000,audit-account-management,oval:com.secure-elements.oval:def:6011,audit_account_management,oval:gov.nist.fdcc.vista:def:29,,,,
CCE-3287-0,"Auditing of ""account management"" events on failure should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-1646,audit-account-management,oval:com.secure-elements.oval:def:6011,audit_account_management,oval:gov.nist.fdcc.vista:def:29,,,,
CCE-3041-1,"Auditing of ""directory service access"" events on success should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-2118,audit-directory-services-access,oval:com.secure-elements.oval:def:6012,audit_directory_service_access,oval:gov.nist.fdcc.vista:def:30,,,,
CCE-3309-2,"Auditing of ""directory service access"" events on failure should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-2390,audit-directory-services-access,oval:com.secure-elements.oval:def:6012,audit_directory_service_access,oval:gov.nist.fdcc.vista:def:30,,,,
CCE-3076-7,"Auditing of ""logon"" events on success should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy ,,CCE-1686,audit-logon-events,oval:com.secure-elements.oval:def:6013,audit_logon_events,oval:gov.nist.fdcc.vista:def:32,,,,
CCE-2970-2,"Auditing of ""logon"" events on failure should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy ,,CCE-1744,audit-logon-events,oval:com.secure-elements.oval:def:6013,audit_logon_events,oval:gov.nist.fdcc.vista:def:32,,,,
CCE-2724-3,"Auditing of ""object access"" events on success should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-2640,audit-object-access,oval:com.secure-elements.oval:def:6014,audit_object_access,oval:gov.nist.fdcc.vista:def:34,,,,
CCE-3243-3,"Auditing of ""object access"" events on failure should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-1991,audit-object-access,oval:com.secure-elements.oval:def:6014,audit_object_access,oval:gov.nist.fdcc.vista:def:34,,,,
CCE-2746-6,"Auditing of ""policy change"" events on success should be enabled or disabled as appropriate..",(1) enabled/disabled,(1) defined by Local or Group Policy  ,,CCE-2412,audit-policy-change,oval:com.secure-elements.oval:def:6015,audit_policy_change,oval:gov.nist.fdcc.vista:def:35,,,,
