Unnamed: 0,Last modfied: 2011-10-07,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Version: 5.20111007,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Securing a Production Environment for Oracle WebLogic Server 11g Release 1 (10.3.1) ,Securing Oracle WebLogic Server 11g Release 1 (10.3.1),Other WebLogic Documentation
CCE-17933-3,"Set the ""Complete Message Timeout"" appropriately for each server.",(1) number of seconds,"(1) via the Administration console, Environment > Servers > Server Domain > Server name > Protocols > General > Complete Message Timeout field",,,,"BEA WebLogic Server 10.0 Domain Configuration Schema Reference, See element complete-message-timeout"
CCE-18113-1,"Enable or disable the ""FIPS- compliant cryptographic module"".",(1) enabled/disabled,(1) via 'setDomainEnv.sh',,"Note in section 3.2, ""Securing a Production Environment for Oracle WebLogic server""",,
CCE-17853-3,"Enable or disable the ""Allow Unencrypted Null Cipher"" as appropriate for each server.",(1) enabled/disabled,"(1) via the Administration console, Domain Structure > Environment > Servers > Server Name > Configuration > SSL > Advanced > Allow Unencrypted Null Cipher checkbox",,"Section 3.1, ""an important note regarding null cipher use in SSL""",,
CCE-17743-6,"Determine the appropriate ""Maximum Message Size"" for each server.",(1) bytes,"(1) via the Administration console, Environment > Servers > Server name > Protocols > General > Maximum Message Size field",,"Table 3-3 in section 3.5, ""Securing the WebLogic Security Notice""",,
CCE-17760-0,"Determine the appropriate ""Security Interoperability Mode"" setting.",(1) default/performance/compatibility,"(1) via the Administration console, Domain Name > Security > General >  Advanced > Security Interoperability Mode setting",,,,"Oracle® Fusion Middleware Programming JTA for Oracle WebLogic Server 11g Release 1 (10.3.1), link down to 3.3.2.3, ""Configuring Security Interoperability Mode"""
CCE-17888-9,The Oracle WebLogic Server should be run by the appropriate account.,(1) set of accounts,"(1) via the Configuration Wizard
(2) via chown",,"p.21, Table 3-1 in section 3.6, ""Securing the WebLogic Security Notice""",,
CCE-17155-3,"Define the ""Severity"" field as appropriate.",(1) Failure/Success/Error/Warning/Information,"(1) via the Administration Console, Security Realm > Name of the active Realm > Providers > Auditing > WebLogic Auditing Provider > Provider Specific > Severity attribute",,,"link down to section 4.6, ""configuring the WebLogic auditing provider""",
CCE-17181-9,"Enable or disable the Active Context Handler ""servlet.HttpServletResponse"" as appropriate.",(1) enabled/disabled,"(1) via the Administration Console, Security Realm > Name of the active Realm > Providers > Auditing > WebLogic Auditing Provider > Provider Specific > Active Context Handler Entries",,,"link down to section 4.6.1, ""auditing context handler elements""",
CCE-17171-0,"Enable or disable the Active Context Handler ""wli.Message"" as appropriate.",(1) enabled/disabled,"(1) via the Administration Console, Security Realm > Name of the active Realm > Providers > Auditing > WebLogic Auditing Provider > Provider Specific > Active Context Handler Entries",,,"link down to section 4.6.1, ""auditing context handler elements""",
CCE-17572-9,"Enable or disable the Active Context Handler ""channel.Port"" as appropriate.",(1) enabled/disabled,"(1) via the Administration Console, Security Realm > Name of the active Realm > Providers > Auditing > WebLogic Auditing Provider > Provider Specific > Active Context Handler Entries",,,"link down to section 4.6.1, ""auditing context handler elements""",
CCE-17740-2,"Enable or disable the Active Context Handler ""channel.PublicPort"" as appropriate.",(1) enabled/disabled,"(1) via the Administration Console, Security Realm > Name of the active Realm > Providers > Auditing > WebLogic Auditing Provider > Provider Specific > Active Context Handler Entries",,,"link down to section 4.6.1, ""auditing context handler elements""",
CCE-17652-9,"Enable or disable the Active Context Handler ""servlet.HttpServletResponse"" as appropriate.",(1) enabled/disabled,"(1) via the Administration Console, Security Realm > Name of the active Realm > Providers > Auditing > WebLogic Auditing Provider > Provider Specific > Active Context Handler Entries",,,"link down to section 4.6.1, ""auditing context handler elements""",
