Unnamed: 0,Last modified: 2009-05-15,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Version: 5.20100428,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Old v4 CCE ID,CIS W2K Server Level 2 Benchmark v2.2.1,DISA Gold Disk Check Name for W2K (golddisk.win2k.ecve.txt),IRS Internal Revenue Manual (IRM) -- (http://www.irs.gov/irm/)
CCE-3858-8,The required auditing for %SystemDrive% directory should be enabled. ,"(1) set of accounts 
(2) events to audit 
(3) applicability",(1) defined by the object's SACL ,,CCE-25,"4.4.3.1 %System Drive% - Everyone: Failures (this folder, propagate inheritable permissions to all subfolders and files)",?,
CCE-3748-1,The required auditing for the registry key HKEY_LOCAL_MACHINE\SOFTWARE should be enabled. ,"(1) set of accounts 
(2) events to  audit 
(3) applicability",(1) defined by the object's SACL ,,CCE-899,"4.4.3.2 HKLM\Software – Everyone: Failures (this key, propagate inheritable permission to all subkeys)",Reg Auditing Local Machine,
CCE-3770-5,The required auditing for the registry key HKEY_LOCAL_MACHINE\SYSTEM should be enabled. ,"(1) set of accounts 
(2) events to  audit 
(3) applicability",(1) defined by the object's SACL ,,CCE-727,"4.4.3.3 HKLM\System – Everyone: Failures (this key, propagate inheritable permission to all subkeys)",Reg Auditing Local Machine,
CCE-3809-1,The required permissions for the directory %ProgramFiles% should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-24,"4.4.1.15 %ProgramFiles% - Administrators: Full; System: Full; Creator Owner: Full; Users: Read and Execute, List",Program Files ACL,
CCE-3869-5,The required permissions for the directory %ProgramFiles%\Resource Kit should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-570,4.4.1.16 %Program Files%\Resource Kit – Administrators: Full; System: Full,Resource Kit ACL Servers and DCs,
CCE-3785-3,The required permissions for the directory %ProgramFiles%\Resource Pro Kit should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-204,4.4.1.17 %Program Files%\Resource Pro Kit – Administrators: Full; System: Full,Resource Kit ACL Workstation,
CCE-3807-5,The required permissions for the directory %SystemDrive% should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-411,"4.4.1.1 %SystemDrive%\ - Administrators: Full; System: Full; Creator Owner: Full; Users: Read and Execute, List",SystemDrive ACL,
CCE-2879-5,The required permissions for the file %SystemDrive%\AUTOEXEC.BAT should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-816,4.4.1.2 %SystemDrive%\autoexec.bat - Administrator: Full; System: Full,Autoexec.bat ACL,
CCE-3344-9,The required permissions for the file %SystemDrive%\BOOT.INI should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-746,4.4.1.3 %SystemDrive%\boot.ini – Administrators: Full; System: Full,BOOT.INI ACL,
CCE-3864-6,The required permissions for the file %SystemDrive%\CONFIG.SYS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-987,4.4.1.4 %SystemDrive%\config.sys - Administrators: Full; System: Full,CONFIG.SYS ACL,
CCE-3080-9,The required permissions for the file %SystemDrive%\Documents and Settings should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-419,"4.4.1.10 %SystemDrive%\Documents and Settings - Administrators: Full; System: Full; Users: Read and Execute, List",Documents and Settings ACL,
CCE-3873-7,The required permissions for the directory %SystemDrive%\Documents and Settings\Administrator should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-120,4.4.1.11 %SystemDrive%\Documents and Settings\Administrator - Administrators: Full; System: Full,Documents and Settings\Administrator ACL,
CCE-3419-9,The required permissions for the directory %SystemDrive%\Documents and Settings\All Users should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-181,"4.4.1.12 %SystemDrive%\Documents and Settings\All Users – Administrators: Full; System: Full; Users: Read and Execute, List",Documents and Settings\All Users ACL,
CCE-3763-0,The required permissions for the directory %SystemDrive%\Documents and Settings\All Users\Documents\DrWatson should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-868,"4.4.1.13 %SystemDrive%\Documents and Settings\All Users\Documents\DrWatson – Administrators: Full; System: Full;Creator Owner: Full; Users: Traverse Folder/Execute File, List Folder/Read Data, Read Attributes, Read Extended Attributes, Read Permissions (This folder, subfolders, and files); Users: Traverse Folder/Execute Files, CreateFiles/Write Data, Create Folder/Append Data (Subfolders and files only)",DrWatson ACL,
CCE-3657-4,The required permissions for the file %SystemDrive%\Documents and Settings\All Users\Documents\DrWatson\drwtsn32.log should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-776,?,DrWatson Log ACL,
CCE-3697-0,The required permissions for the directory %SystemDrive%\Documents and Settings\Default User should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-714,"4.4.1.14 %SystemDrive%\Documents and Settings\Default User - Administrators: Full; System: Full; Users: Read and Execute, List",Default User ACL,
CCE-3789-5,The required permissions for the file %SystemDrive%\IO.SYS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-540,4.4.1.5 %SystemDrive%\io.sys - Administrators: Full; System: Full,IO.SYS ACL,
CCE-3560-0,The required permissions for the file %SystemDrive%\MSDOS.SYS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-602,4.4.1.6 %SystemDrive%\msdos.sys - Administrators: Full; System: Full,MSDOS.SYS ACL,
CCE-3335-7,The required permissions for the file %SystemDrive%\NTBOOTDD.SYS should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-399,4.4.1.7 %SystemDrive%\ntbootdd.sys - Administrators: Full; System: Full,NTBOOTDD.SYS ACL,
CCE-3749-9,The required permissions for the file %SystemDrive%\NTDETECT.COM should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-192,4.4.1.8 %SystemDrive%\ntdetect.com – Administrators: Full; System: Full,NTDETECT.COM ACL,
CCE-3771-3,The required permissions for the file %SystemDrive%\NTLDR should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-561,4.4.1.9 %SystemDrive%\ntldr - Administrators: Full; System: Full,NTLDR ACL,
CCE-2895-1,The required permissions for the directory %SystemDrive%\Temp should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-755,?,Temp ACL,
CCE-3686-3,The required permissions for the directory %SystemDrive%\My Download Files should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-341,?,My Download ACL,
CCE-3083-3,The required permissions for the file %SystemDrive%\System Volume Information should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-971,4.4.1.47 %SystemDrive%\System Volume Information – (Do not allow permissions on this folder to be replaced),,
CCE-3105-4,The required permissions for the directory %SystemRoot% should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-645,"4.4.1.18 %SystemRoot% – Administrators: Full; System: Full; Creator Onwer: Full; Users: Read and Execute, List",System Root ACL,
CCE-3876-0,The required permissions for the directory %SystemRoot%\Driver Cache\I386\Driver.cab should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-579,,Driver.cab ACL,
CCE-3519-6,The required permissions for the directory %SystemRoot%\$NtServicePackUninstall$ should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-505,"4.4.1.18 %SystemRoot% – Administrators: Full; System: Full; Creator Onwer: Full; Users: Read and Execute, List",System Root ACL,
CCE-3197-1,The required permissions for the directory %SystemRoot%\$NtServicePackUninstall$ should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-640,4.4.1.19 %SystemRoot%\$NtServicePackUninstall$ – Administrators: Full; System: Full,%SystemRoot%\$NtServicePackUninstall$,
CCE-3342-3,The required permissions for any of the %SystemRoot%\$NtUninstall* directories should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-328,?,NT SP Uninstall ACL,
