Unnamed: 0,Last modified: 2010-04-20,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Version: 5.20100428,,,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Old v4 CCE ID,Microsoft Security Guide for Windows Server 2003,Center for Internet Security Windows Server 2003,DISA Stig for Windows 2003,"Microsoft Windows Server 2003 Security Guide, version April 26, 2006",Microsoft Online Documentation
CCE-3062-7,"The ""deny access to this computer from the network"" user right should be assigned to the correct accounts.",(1) set of accounts,"(1) defined by the SeDenyNetworkLogonRight setting in Local or Group Policy
(2) Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\Deny access to this computer from the network",,CCE-898,"Table 3.28 Deny access to this computer from the network: ANONYMOUS LOGON; Built-in Administrator, Guests; Support_388945a0; Guest; all NON-Operating System service accounts (Legacy Client, Enterprise Client, and High Security)",4.2.15 Deny access to this computer from the network (minimum): Not Defined,,"Table 4.11 User Rights Assignments Setting Recommendations: Deny access to this computer from the network, ANONOYMOUS LOGON; Guests; Support_388945a0; all NON-Operating System service accounts (Legacy, Enterprise, and Specialized Security)
Table 4.30 Manually Added User Rights Assignments: Deny access to this computer from the network, Built-in Administrator; Support_388945a0;
Guest; all NON-Operating System service accounts (Legacy, Enterprise, and Specialized Security)
Table 5.8 Manually Added User Rights Assignments:Deny access to this computer from the network, Built-in Administrator; Support_388945a0;
Guest; all NON-Operating System service accounts (Legacy, Enterprise, and Specialized Security)
Table 9.10 Manually Added User Rights Assignments: Deny access to this computer from the network, Built-in Administrator; Support_388945a0;
Guest; all NON-Operating System service accounts (Legacy, Enterprise and Specialized Security)",http://technet.microsoft.com/en-us/library/cc758316.aspx
CCE-3322-5,"The ""access this computer from the network"" user right should be assigned to the correct accounts.  ",(1) set of accounts,"(1) defined by the SeNetworkLogonRight setting in Local or Group Policy  
(2) Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\",,CCE-532,"Table 4.2 Access this computer from the network: Administrators, Authenticated Users, Enterprise Domain Controllers (High Security); Legacy Client and Enterprise Client are not defined","4.2.1 Access this computer from the network: Not Defined; Administrators, Authenticated Users, Enterprise Domain Controllers (Specialized Security)","5.1 User Rights: (4.015: CAT I) Built-in Guest account, Everyone group, guests group, and Domain Guests group DO NOT have the right to ""access this computer from the network""","Table 4.11 User Rights Assignments Setting Recommendations: Access this computer from the network, not defined (Legacy and Enterprise), Administrators, Authenticated Users, ENTERPRISE DOMAIN CONTROLLERS (Specialized Security)
Table 5.4 Recommended User Rights Assignments Settings: Access this computer from the network
",http://technet.microsoft.com/en-us/library/cc740196.aspx 
CCE-3490-0,"The ""act as part of the operating system"" user right should be assigned to the correct accounts.  ",(1) set of accounts,"(1) defined the SeTcbPrivilege setting in by Local or Group Policy  
(2) Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\",,CCE-162,Table 3.21 Act as part of the operating system: Not defined (Legacy Client and Enterprise Client); revoke all security groups and accounts (High Security),4.2.2 Act as part of the operating system: none,"5.1 User Rights: (4.009: CAT I) Individual and group accounts DO NOT have the right to ""act as part of the operating system""","Table 4.11 User Rights Assignments Setting Recommendations: Act as part of the operating system, Not defined (Legacy and Enterprise), No one Specialized Security)",
CCE-2869-6,"The ""back up files and directories"" user right should be assigned to the correct accounts.  ",(1) set of accounts,"(1) defined the SeBackupPrivilege setting in by Local or Group Policy  
(2) Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\",,CCE-931,,4.2.36 Backup files and directories: Administrators (Specialized Security),,"Table 4.11 User Rights Assignments Setting Recommendations, Back up files and directories Not defined (Legacy and Enterprise), Administrators (Specialized Security)",
CCE-3375-3,"The ""bypass traverse checking"" user right should be assigned to the correct accounts.  ",(1) set of accounts,"(1) defined the SeChangeNotifyPrivilege setting in by Local or Group Policy  
(2) Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\",,CCE-376,,4.2.8 Bypass traverse checking: Not Defined,,"Table 4.11 User Rights Assignments Setting Recommendations: Bypass traverse checking, Not defined (Legacy and Enterprise), Authenticated Users (Specialized Security)",
CCE-3397-7,"The ""change the system time"" user right should be assigned to the correct accounts.  ",(1) set of accounts,"(1) defined the SeSystemTimePrivilege setting in by Local or Group Policy  
(2) Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\",,CCE-799,Table 3.26 Change the system time: Administrators and Power Users (default); Administrators (High Security); Legacy client and Enterprise Client are not defined,4.2.9 Change the system time: Administrators,,"Table 4.11 User Rights Assignments Setting Recommendations: Change the system time, Not defined (Legacy and Enterprise), Administrators, LOCAL SERVICE (Specialized Security)
Table 5.4 Recommended User Rights Assignments Settings: Change the system time, Administrators, LOCAL SERVICE (Legacy, Enterprise, and Specialized Security)",http://technet.microsoft.com/en-us/library/cc786461.aspx
CCE-3538-6,"The ""create a pagefile"" user right should be assigned to the correct accounts.  ",(1) set of accounts,"(1) defined the SeCreatePagefilePrivilege setting in by Local or Group Policy  
(2) Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\",,CCE-895,,4.2.10 Create a pagefile: Administrators (Specialized Security),,"Table 4.11 User Rights Assignments Setting Recommendations: Create a pagefile, Not defined (Legacy and Enterprise), Administrators (Specialized Security)",
CCE-3498-3,"The ""Create a token object"" user right should be assigned to the correct accounts.  ",(1) set of accounts,"(1) defined the SeCreateTokenPrivilege setting in by Local or Group Policy  
(2) Computer Configuration\Windows Settings\Security Settings\Local Policies\User Rights Assignment\",,CCE-926,,4.2.11 Create a token object: None,,"Table 4.11 User Rights Assignments Setting Recommendations: Create a token object, Not defined (Legacy and Enterprise), No one (Specialized Security)",
