Unnamed: 0,Last modified: 2012-02-16,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Version: 5.20120314,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Windows Server 2008 Security Guide  Spreadsheet (Windows Server 2008 Security Guide Settings.xls)
CCE-1841-6,"Auditing of ""Security System Extension"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,System /  Security System Extension
CCE-2348-1,"Auditing of ""System Integrity"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,System /  System Integrity
CCE-2608-8,"Auditing of ""IPsec Driver"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,System /  IPsec Driver
CCE-2022-2,"Auditing of ""Other System Events"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,System /  Other System Events
CCE-2414-1,"Auditing of ""Security State Change"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,System /  Security State Change
CCE-2441-4,"Auditing of ""Logon"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  Logon
CCE-2569-2,"Auditing of ""Logoff"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  Logoff
CCE-2110-5,"Auditing of ""Account Lockout"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  Account Lockout
CCE-2260-8,"Auditing of ""IPsec Main Mode"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  IPsec Main Mode
CCE-2064-4,"Auditing of ""IPsec Quick Mode"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  IPsec Quick Mode
CCE-2350-7,"Auditing of ""IPsec Extended Mode"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  IPsec Extended Mode
CCE-2610-4,"Auditing of ""Special Logon"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  Special Logon
CCE-2615-3,"Auditing of ""Other Logon/Logoff Events"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  Other Logon/Logoff Events
CCE-2373-9,"Auditing of ""Network Policy Server"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Logon/Logoff /  Network Policy Server
CCE-2531-2,"Auditing of ""File System"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Object Access /  File System
CCE-2553-6,"Auditing of ""Registry"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Object Access /  Registry
CCE-2417-4,"Auditing of ""Kernel Object"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Object Access /  Kernel Object
CCE-2465-3,"Auditing of ""SAM"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Object Access /  SAM
CCE-2095-8,"Auditing of ""Certification Services"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Object Access /  Certification Services
CCE-2368-9,"Auditing of ""Application Generated"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Object Access /  Application Generated
CCE-2408-3,"Auditing of ""Handle Manipulation"" events on success should be enabled or disabled as appropriate.",(1) enabled/disabled,(1) via auditpol,,Object Access /  Handle Manipulation
