Unnamed: 0,Last modified: 2012-03-13,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Version: 5.20120314,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms, ,Microsoft Security Compliance Manager (SCM) Baselines and Settings Packs
CCE-12007-1,"The ""6to4 Relay Name"" machine setting should be configured correctly.",enabled/disabled,"Computer Configuration\Administrative Templates\Network\TCPIP Settings\IPv6 Transition Technologies\6to4 Relay Name
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\TCPIP\v6Transition",,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Windows Server 2008 R2
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940"
CCE-12009-7,"The ""6to4 Relay Name Resolution Interval"" machine setting should be configured correctly.",enabled/disabled,"Computer Configuration\Administrative Templates\Network\TCPIP Settings\IPv6 Transition Technologies\6to4 Relay Name Resolution Interval
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\TCPIP\v6Transition",,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Windows Server 2008 R2
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940"
CCE-11356-3,"The ""6to4 State"" machine setting should be configured correctly.",enabled/disabled,"Computer Configuration\Administrative Templates\Network\TCPIP Settings\IPv6 Transition Technologies\6to4 State
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\TCPIP\v6Transition",,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Windows Server 2008 R2
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940"
CCE-12287-9,"The ""ActiveX installation policy for sites in Trusted zones"" machine setting should be configured correctly.",enabled/disabled,"Computer Configuration\Administrative Templates\Windows Components\ActiveX Installer Service\ActiveX installation policy for sites in Trusted zones
HKEY_LOCAL_MACHINE\SOFTWARE\Policies\Microsoft\Windows\AxInstaller\AxISURLZonePolicies",,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Windows Server 2008 R2
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940"
CCE-11699-6,"The ""Add Printer wizard - Network scan page (Managed network)"" machine setting should be configured correctly.",enabled/disabled,"Computer Configuration\Administrative Templates\Printers\Add Printer wizard - Network scan page (Managed network)
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Printers\Wizard",,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Windows Server 2008 R2
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940"
CCE-11325-8,"The ""Add Printer wizard - Network scan page (Unmanaged network)"" machine setting should be configured correctly.",enabled/disabled,"Computer Configuration\Administrative Templates\Printers\Add Printer wizard - Network scan page (Unmanaged network)
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Printers\Wizard",,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Windows Server 2008 R2
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940"
CCE-11456-1,"The ""Add the Administrators security group to roaming user profiles"" machine setting should be configured correctly.",enabled/disabled,"Computer Configuration\Administrative Templates\System\User Profiles\Add the Administrators security group to roaming user profiles
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\System",,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Windows Server 2008 R2
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940"
CCE-11163-3,"The ""Administratively assigned offline files"" machine setting should be configured correctly.",enabled/disabled,"Computer Configuration\Administrative Templates\Network\Offline Files\Administratively assigned offline files
HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows\NetCache\AssignedOfflineFolders",,"Microsoft Tool: Security Compliance Manager (SCM)
Microsoft Baseline: Windows Server 2008 R2
SCM URL: http://go.microsoft.com/fwlink/?LinkId=113940"
