Unnamed: 0,Last modified: 2012-05-18,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Version: 5.20120521,,,,,,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Old v4 CCE ID,"Microsoft Security Compliance Management Toolkit for Windows 7, Version 1.0: ""Windows 7 Security Baseline Settings.xlsm"" spreadsheet","Microsoft Security Compliance Management Toolkit for Windows 7, Version 1.0: ""Windows 7 Security Baseline.xml""",Microsoft Online Documentation,USGCB Beta 2010-08-31 XCCDF (USGCB-Windows-7-x86_xccdf.xml),USGCB Beta 2010-08-31 OVAL (USGCB-Windows-7-x86_oval.xml),USGCB XCCDF (USGCB-Windows-7-xccdf),USGCB OVAL (USGCB-Windows-7-oval),Microsoft Security Compliance Manager Version 2.5
CCE-10814-2,The 'MSS: (AutoShareWks) Enable Administrative Shares (recommended except for highly secure environments)' setting should be configured correctly.,enabled/disabled,"(1) GPO: Computer Configuration\Windows Settings\Local Policies\Security Options\MSS: (AutoShareWks) Enable Administrative Shares (recommended except for highly secure environments) 
(2) Registry Key: HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\LanmanServer\Parameters\\AutoShareWks",,CCE-512,Worksheet: Computer Policy Settings; Row: 57,"Setting Index #111: This setting controls the hidden administrative shares on a server. By default, when Windows networking is active on a server, Windows will create hidden administrative shares—which is undesirable on highly secure servers.",,,,,,
CCE-10303-6,The 'MSS: (AutoReboot) Allow Windows to automatically restart after a system crash (recommended except for highly secure environments)' setting should be configured correctly.,enabled/disabled,"(1) GPO: Computer Configuration\Windows Settings\Security Settings\Local Policies\Security Options\MSS: (AutoReboot) Allow Windows to automatically restart after a system crash (recommended except for highly secure environments) 
(2) Registry Key: HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Control\CrashControl\AutoReboot",,CCE-137,Worksheet: Computer Policy Settings; Row: 94,Setting Index #110: This entry appears as MSS: (AutoReboot) Allow Windows to automatically restart after a system crash (recommended except for highly secure environments) in the SCE.,,,,,,
CCE-10014-9,Auditing of 'Policy Change: Authentication Policy Change' events on failure should be enabled or disabled as appropriate.,enabled/disabled,(1) Commandline: auditpol.exe,,CCE-180,Worksheet: Audit Policy Settings; Row: 37,Setting Index #396: The policy setting for this audit category determines whether to audit Authentication Policy changes on computers running Windows Vista or later Windows operating systems.,,,,,,
CCE-10021-4,Auditing of 'Policy Change: Audit Policy Change' events on success should be enabled or disabled as appropriate.,enabled/disabled,(1) Commandline: auditpol.exe,,CCE-1110,Worksheet: Audit Policy Settings; Row: 36,"Setting Index #395: The Policy Change audit category determines whether to audit every incident of a change to user rights assignment policies, Windows Firewall policies, Trust policies, or changes to the Audit policy itself.",,,,,,
CCE-10049-5,Auditing of 'Policy Change: Other Policy Change Events' events on failure should be enabled or disabled as appropriate.,enabled/disabled,(1) Commandline: auditpol.exe,,CCE-787,Worksheet: Audit Policy Settings; Row: 41,Setting Index #400: The policy setting for this audit category determines whether to audit Other Policy Change events on computers running Windows Vista or later Windows operating systems.,,,,,,
CCE-10050-3,Auditing of 'Policy Change: Authorization Policy Change' events on failure should be enabled or disabled as appropriate.,enabled/disabled,(1) Commandline: auditpol.exe,,CCE-448,Worksheet: Audit Policy Settings; Row: 38,Setting Index #397: The policy setting for this audit category determines whether to audit Authorization Policy changes on computers running Windows Vista or later Windows operating systems.,,,,,,
CCE-10051-1,The screen saver should be enabled or disabled as appropriate for the current user.  ,enabled/disabled ,"(1) GPO: User Configuration\Administrative Templates\Control Panel\Personalization\Enable screen saver 
(2) Registry Key: HKEY_CURRENT_USER\Software\Policies\Microsoft\Windows\Control Panel\Desktop\ScreenSaveActive",,CCE-287,Worksheet: User Policy Settings; Row: 12,Setting Index #504: This policy setting allows you to manage whether or not screen savers run. ,,"Rule 'enable_screen_saver'
",,,,
CCE-10061-0,The 'Turn off printing over HTTP' setting should be configured correctly.,enabled/disabled,"(1) GPO: Computer Configuration\Administrative Templates\System\Internet Communication Management\Internet Communication settings\Turn off printing over HTTP 
(2) Registry Key: HKEY_LOCAL_MACHINE\Software\Policies\Microsoft\Windows NT\Printers\DisableHTTPPrinting",,CCE-852,Worksheet: Computer Policy Settings; Row: 185,"Setting Index #240: This policy setting allows you to disable the client computer’s ability to print over HTTP, which allows the computer to print to printers on the intranet as well as the Internet. ",,"Rule 'turn_off_printing_over_http'
","Definition 'oval:gov.nist.usgcb.windowsseven:def:236'
",,,
