Unnamed: 0,Last modified: 2012-03-13,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,Version: 5.20120314,,,,,,,,,,,,,,,,,,
CCE ID,CCE Description,CCE Parameters,CCE Technical Mechanisms,,Old v4 CCE ID,DISA Gold Disk for Windows XP,NSA Security Guide for Windows XP (NSA-XP-C44-026-02.pdf),CIS Windows XP Pro Benchmark v1.3,CIS Windows XP Pro Benchmark v2.01 (CIS_WindowsXP_Benchmark_v2.01.pdf),CIS Windows XP Pro Benchmark v2.01 OVAL (cis-winxp-oval.xml),NIST 800-68 Windows XP PDF (SP800-68-20051102.pdf),NIST 800-68 Windows XP XCCDF (NIST-800-68-53-WinXPPro_XCCDF_10102006.xml),NIST 800-68 Windows XP OVAL (NIST-800-68-53-WinXPPro_OVAL_10102006.xml),FDCC Windows XP XCCDF (fdcc-accepted-content-20080110\fdcc-winxp-xccdf.xml),FDCC Windows XP OVAL (fdcc-accepted-content-20080110\fdcc-winxp-oval.xml),FDCC Windows XP Firewall XCCDF (fdcc-accepted-content-20080110\fdcc-xpfirewall-xccdf.xml),FDCC Windows XP Firewall OVAL (fdcc-accepted-content-20080110\fdcc-xpfirewall-oval.xml),USGCB XCCDF (USGCB-Windows-XP-xccdf),USGCB OVAL (USGCB-Windows-XP-oval)
CCE-2682-3,The required auditing for %SystemDrive% directory should be enabled. ,"(1) set of accounts 
(2) events to audit 
(3) applicability",(1) defined by the object's SACL ,,CCE-25,,,4.4.3.1 %SystemDrive%,,,,,,,,,,,
CCE-2796-1,The required auditing for the registry key HKEY_LOCAL_MACHINE\SOFTWARE should be enabled. ,"(1) set of accounts 
(2) events to  audit 
(3) applicability",(1) defined by the object's SACL ,,CCE-899,,,4.4.3.2 HKEY_LOCAL_MACHINE\Software,,,,,,,,,,,
CCE-1840-8,The required auditing for the registry key HKEY_LOCAL_MACHINE\SYSTEM should be enabled. ,"(1) set of accounts 
(2) events to  audit 
(3) applicability",(1) defined by the object's SACL ,,CCE-727,,,4.4.3.3 HKEY_LOCAL_MACHINE\System,,,,,,,,,,,
CCE-2483-6,The required permissions for the directory %ALL% should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-211,File Auditing - Must Have ACE (CID:269),,,,,,,,,,,,,
CCE-1849-9,The required permissions for the directory %AllUsersProfile% should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-39,,%AllUsersProfile%,,,,,,,,,,,,
CCE-2620-3,The required permissions for the directory %AllUsersProfile%\Application Data should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-83,,%AllUsersProfile%\Application Data,,,,,,,,,,,,
CCE-2787-0,The required permissions for the directory %AllUsersProfile%\Application Data\Microsoft should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-854,,%AllUsersProfile%\Application Data\Microsoft,,,,,,,,,,,,
CCE-2673-2,The required permissions for the directory %AllUsersProfile%\Application Data\Microsoft\Crypto\DSSHKLMKeys should be assigned.  ,"(1) set of accounts 
(2) list of permissions 
(3) applicability",(1) defined by the object's DACL  ,,CCE-783,,%AllUsersProfile%\Application Data\Microsoft\Crypto\DSSHKLMKeys,,,,,,,,,,,,
